frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_recent_events
2,2,0,0,2,0.429,UNKNOWN,0.429,0
3,3,0,0,3,0.593,CASCADE_3+,0.593,0
4,3,0,0,3,0.593,CASCADE_3+,0.593,0
5,3,0,0,3,0.593,CASCADE_3+,0.593,0
6,3,0,0,3,0.593,CASCADE_3+,0.593,0
7,3,0,0,3,0.593,CASCADE_3+,0.593,0
8,3,0,0,3,0.593,CASCADE_3+,0.593,0
9,3,0,0,3,0.593,CASCADE_3+,0.593,0
10,3,0,0,3,0.593,CASCADE_3+,0.593,0
11,3,0,0,3,0.593,FOUNTAIN_3+,0.593,2
12,3,0,0,3,0.593,FOUNTAIN_3+,0.593,2
13,3,0,0,3,0.593,FOUNTAIN_3+,0.593,2
14,3,0,0,3,0.593,FOUNTAIN_3+,0.593,2
15,3,0,0,3,0.593,FOUNTAIN_3+,0.593,2
16,3,0,0,3,0.593,FOUNTAIN_3+,0.593,2
17,3,0,0,3,0.593,FOUNTAIN_3+,0.593,2
18,1,0,0,1,0.921,SINGLE_BALL,0.921,2
19,1,0,0,1,0.921,SINGLE_BALL,0.921,2
20,1,0,0,1,0.921,SINGLE_BALL,0.921,2
21,3,0,0,3,0.633,FOUNTAIN_3+,0.633,2
22,3,0,0,3,0.633,FOUNTAIN_3+,0.633,2
23,2,0,0,2,0.675,TWO_BALL,0.675,2
24,2,0,0,2,0.675,TWO_BALL,0.675,2
25,2,0,0,2,0.675,TWO_BALL,0.675,2
26,2,0,0,2,0.675,TWO_BALL,0.675,2
27,3,0,0,3,0.633,FOUNTAIN_3+,0.633,2
28,3,0,0,3,0.633,FOUNTAIN_3+,0.633,2
29,3,0,0,3,0.633,FOUNTAIN_3+,0.633,2
30,3,0,0,3,0.633,FOUNTAIN_3+,0.633,2
31,2,1,0,3,0.633,FOUNTAIN_3+,0.633,2
32,2,0,0,2,0.489,UNKNOWN,0.489,2
33,2,0,0,2,0.489,UNKNOWN,0.489,2
34,1,0,0,1,0.549,SINGLE_BALL,0.549,2
35,1,0,0,1,0.549,SINGLE_BALL,0.549,2
36,1,0,0,1,0.549,SINGLE_BALL,0.549,2
37,1,0,0,1,0.549,SINGLE_BALL,0.549,2
38,1,0,0,1,0.549,SINGLE_BALL,0.549,2
39,2,0,0,2,0.489,UNKNOWN,0.489,2
40,2,0,0,2,0.489,UNKNOWN,0.489,2
41,2,0,0,2,0.489,UNKNOWN,0.489,2
