frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,n_recent_events,same_hand_run,alternation_score,catch_rate_hz
2,2,0,0,2,0.429,TWO_BALL,0.429,0,0,0,0.0,0.0
3,3,0,0,3,0.593,MIXED_3+_UNCONFIRMED,0.296,0,0,0,0.0,0.0
4,3,0,0,3,0.593,MIXED_3+_UNCONFIRMED,0.296,0,0,0,0.0,0.0
5,3,0,0,3,0.593,MIXED_3+_UNCONFIRMED,0.296,0,0,0,0.0,0.0
6,3,0,0,3,0.593,MIXED_3+_UNCONFIRMED,0.296,0,0,0,0.0,0.0
7,3,0,0,3,0.593,MIXED_3+_UNCONFIRMED,0.296,0,0,0,0.0,0.0
8,3,0,0,3,0.593,MIXED_3+_UNCONFIRMED,0.296,0,0,0,0.0,0.0
9,3,0,0,3,0.593,MIXED_3+_UNCONFIRMED,0.296,0,0,0,0.0,0.0
10,3,0,0,3,0.593,MIXED_3+_UNCONFIRMED,0.296,0,0,0,0.0,0.0
11,3,0,0,3,0.593,MIXED_3+_UNCONFIRMED,0.296,0,2,0,0.0,0.0
12,3,0,0,3,0.593,MIXED_3+_UNCONFIRMED,0.296,0,2,0,0.0,0.0
13,3,0,0,3,0.593,MIXED_3+_UNCONFIRMED,0.296,0,2,0,0.0,0.0
14,3,0,0,3,0.593,MIXED_3+_UNCONFIRMED,0.296,0,2,0,0.0,0.0
15,3,0,0,3,0.593,MIXED_3+_UNCONFIRMED,0.296,0,2,0,0.0,0.0
16,3,0,0,3,0.593,MIXED_3+_UNCONFIRMED,0.296,0,2,0,0.0,0.0
17,3,0,0,3,0.593,MIXED_3+_UNCONFIRMED,0.296,0,2,0,0.0,0.0
18,1,0,0,1,0.921,SINGLE_BALL,0.921,0,2,0,0.0,0.0
19,1,0,0,1,0.921,SINGLE_BALL,0.921,0,2,0,0.0,0.0
20,1,0,0,1,0.921,SINGLE_BALL,0.921,0,2,0,0.0,0.0
21,3,0,0,3,0.633,MIXED_3+_UNCONFIRMED,0.317,0,2,0,0.0,0.0
22,3,0,0,3,0.633,MIXED_3+_UNCONFIRMED,0.317,0,2,0,0.0,0.0
23,2,0,0,2,0.675,TWO_BALL,0.675,0,2,0,0.0,0.0
24,2,0,0,2,0.675,TWO_BALL,0.675,0,2,0,0.0,0.0
25,2,0,0,2,0.675,TWO_BALL,0.675,0,2,0,0.0,0.0
26,2,0,0,2,0.675,TWO_BALL,0.675,0,2,0,0.0,0.0
27,3,0,0,3,0.633,MIXED_3+_UNCONFIRMED,0.317,0,2,0,0.0,0.0
28,3,0,0,3,0.633,MIXED_3+_UNCONFIRMED,0.317,0,2,0,0.0,0.0
29,3,0,0,3,0.633,MIXED_3+_UNCONFIRMED,0.317,0,2,0,0.0,0.0
30,3,0,0,3,0.633,MIXED_3+_UNCONFIRMED,0.317,0,2,0,0.0,0.0
31,2,1,0,3,0.633,MIXED_3+_UNCONFIRMED,0.317,0,2,0,0.0,0.0
32,2,0,0,2,0.489,TWO_BALL,0.489,0,2,0,0.0,0.0
33,2,0,0,2,0.489,TWO_BALL,0.489,0,2,0,0.0,0.0
34,1,0,0,1,0.549,SINGLE_BALL,0.549,0,2,0,0.0,0.0
