frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,n_recent_events,same_hand_run,alternation_score,catch_rate_hz
2,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
3,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
4,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
5,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
6,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
7,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
8,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
9,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
10,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
11,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
12,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
13,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
14,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
15,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
16,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
17,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
18,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
19,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
20,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
21,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
22,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
23,4,0,0,4,0.519,MIXED_3+_UNCONFIRMED,0.26,0,0,0,0.0,0.0
24,4,0,0,4,0.519,MIXED_3+_UNCONFIRMED,0.26,0,0,0,0.0,0.0
25,4,0,0,4,0.519,MIXED_3+_UNCONFIRMED,0.26,0,0,0,0.0,0.0
26,4,0,0,4,0.519,MIXED_3+_UNCONFIRMED,0.26,0,0,0,0.0,0.0
27,4,0,0,4,0.519,MIXED_3+_UNCONFIRMED,0.26,0,0,0,0.0,0.0
28,4,0,0,4,0.519,MIXED_3+_UNCONFIRMED,0.26,0,0,0,0.0,0.0
29,4,0,0,4,0.519,MIXED_3+_UNCONFIRMED,0.26,0,0,0,0.0,0.0
30,4,0,0,4,0.519,MIXED_3+_UNCONFIRMED,0.26,0,0,0,0.0,0.0
31,4,0,0,4,0.519,MIXED_3+_UNCONFIRMED,0.26,0,0,0,0.0,0.0
32,4,0,0,4,0.519,MIXED_3+_UNCONFIRMED,0.26,0,0,0,0.0,0.0
33,4,0,0,4,0.519,MIXED_3+_UNCONFIRMED,0.26,0,0,0,0.0,0.0
34,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
35,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
36,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
37,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
38,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
39,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
40,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
41,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
42,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
43,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
44,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
45,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
46,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
47,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
48,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
49,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
50,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
51,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
52,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
53,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
54,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
55,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
56,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
57,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
58,6,0,0,6,0.502,MIXED_3+_UNCONFIRMED,0.251,0,0,0,0.0,0.0
59,6,0,0,6,0.502,MIXED_3+_UNCONFIRMED,0.251,0,0,0,0.0,0.0
