frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,n_airborne_tracklets,vx_iqr_px_per_frame,n_distinct_horiz_dirs,pattern,confidence
2,2,0,0,2,2,0.0,0,TWO_BALL,0.5
3,3,0,0,3,3,28.39,1,FOUNTAIN_3+_DETECTOR,0.7
4,3,0,0,3,3,33.34,1,FOUNTAIN_3+_DETECTOR,0.7
5,3,0,0,3,3,34.75,1,FOUNTAIN_3+_DETECTOR,0.7
6,3,0,0,3,3,33.38,1,FOUNTAIN_3+_DETECTOR,0.7
7,3,0,0,3,3,26.58,1,FOUNTAIN_3+_DETECTOR,0.7
8,3,0,0,3,3,22.19,1,FOUNTAIN_3+_DETECTOR,0.7
9,3,0,0,3,3,19.91,2,CASCADE_3+_DETECTOR,0.7
10,3,0,0,3,3,24.62,1,FOUNTAIN_3+_DETECTOR,0.7
11,3,0,0,3,3,24.08,1,FOUNTAIN_3+_DETECTOR,0.7
12,3,0,0,3,3,23.91,1,FOUNTAIN_3+_DETECTOR,0.7
13,3,0,0,3,3,6.13,1,FOUNTAIN_3+_DETECTOR,0.7
14,3,0,0,3,3,2.29,1,FOUNTAIN_3+_DETECTOR,0.7
15,3,0,0,3,3,2.04,1,FOUNTAIN_3+_DETECTOR,0.7
16,3,0,0,3,3,2.91,2,CASCADE_3+_DETECTOR,0.7
17,3,0,0,3,3,5.27,2,CASCADE_3+_DETECTOR,0.7
18,1,0,0,1,3,5.28,1,SINGLE_BALL,0.5
19,1,0,0,1,3,5.58,1,SINGLE_BALL,0.5
20,1,0,0,1,3,5.51,1,SINGLE_BALL,0.5
21,3,0,0,3,5,1.46,1,FOUNTAIN_3+_DETECTOR,0.7
22,3,0,0,3,5,2.36,2,CASCADE_3+_DETECTOR,0.7
23,2,0,0,2,3,25.41,1,TWO_BALL,0.5
24,2,0,0,2,3,14.65,1,TWO_BALL,0.5
25,2,0,0,2,3,37.58,1,TWO_BALL,0.5
26,2,0,0,2,3,36.64,1,TWO_BALL,0.5
27,3,0,0,3,3,35.22,1,FOUNTAIN_3+_DETECTOR,0.7
28,3,0,0,3,3,33.41,1,FOUNTAIN_3+_DETECTOR,0.7
29,3,0,0,3,3,32.25,1,FOUNTAIN_3+_DETECTOR,0.7
30,3,0,0,3,3,32.03,1,FOUNTAIN_3+_DETECTOR,0.7
31,2,1,0,3,0,0.0,0,NO_BALL,0.0
32,2,0,0,2,3,29.55,1,TWO_BALL,0.5
33,2,0,0,2,3,23.69,1,TWO_BALL,0.5
34,1,0,0,1,3,28.67,1,SINGLE_BALL,0.5
35,1,0,0,1,3,28.67,1,SINGLE_BALL,0.5
36,1,0,0,1,3,28.67,1,SINGLE_BALL,0.5
37,1,0,0,1,2,27.88,1,SINGLE_BALL,0.5
38,1,0,0,1,2,27.72,1,SINGLE_BALL,0.5
39,2,0,0,2,2,1.63,1,TWO_BALL,0.5
40,2,0,0,2,2,5.68,1,TWO_BALL,0.5
41,2,0,0,2,2,4.08,1,TWO_BALL,0.5
42,2,0,0,2,2,0.64,1,TWO_BALL,0.5
43,3,0,0,3,3,5.09,2,CASCADE_3+_DETECTOR,0.7
44,3,0,0,3,3,8.74,2,CASCADE_3+_DETECTOR,0.7
45,3,0,0,3,3,12.95,2,CASCADE_3+_DETECTOR,0.7
46,3,0,0,3,3,17.5,2,CASCADE_3+_DETECTOR,0.7
47,2,0,0,2,3,21.76,2,TWO_BALL,0.5
48,2,0,0,2,3,27.49,2,TWO_BALL,0.5
49,2,0,0,2,3,31.86,2,TWO_BALL,0.5
50,2,0,0,2,3,34.02,2,TWO_BALL,0.5
51,2,1,0,3,0,0.0,0,NO_BALL,0.0
52,3,0,0,3,3,36.93,2,CASCADE_3+_DETECTOR,0.7
53,3,0,0,3,3,37.1,2,CASCADE_3+_DETECTOR,0.7
54,3,0,0,3,3,37.04,2,CASCADE_3+_DETECTOR,0.7
55,3,0,0,3,3,35.7,2,CASCADE_3+_DETECTOR,0.7
