frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,n_airborne_tracklets,vx_iqr_px_per_frame,n_distinct_horiz_dirs,pattern,confidence
2,5,0,0,5,5,0.0,0,MIXED_3+,0.4
3,5,0,0,5,5,2.31,2,CASCADE_3+_DETECTOR,0.7
4,5,0,0,5,5,2.39,2,CASCADE_3+_DETECTOR,0.7
5,5,0,0,5,5,3.3,2,CASCADE_3+_DETECTOR,0.7
6,5,0,0,5,5,3.05,2,CASCADE_3+_DETECTOR,0.7
7,5,0,0,5,5,2.98,2,CASCADE_3+_DETECTOR,0.7
8,5,0,0,5,5,3.29,2,CASCADE_3+_DETECTOR,0.7
9,5,0,0,5,5,3.47,2,CASCADE_3+_DETECTOR,0.7
10,5,0,0,5,5,2.8,2,CASCADE_3+_DETECTOR,0.7
11,5,0,0,5,5,3.1,2,CASCADE_3+_DETECTOR,0.7
12,5,0,0,5,5,2.4,2,CASCADE_3+_DETECTOR,0.7
13,5,0,0,5,5,2.13,2,CASCADE_3+_DETECTOR,0.7
14,5,0,0,5,5,3.34,2,CASCADE_3+_DETECTOR,0.7
15,5,0,0,5,5,3.58,2,CASCADE_3+_DETECTOR,0.7
16,5,0,0,5,5,3.44,2,CASCADE_3+_DETECTOR,0.7
17,5,0,0,5,5,3.25,2,CASCADE_3+_DETECTOR,0.7
18,5,0,0,5,5,3.16,2,CASCADE_3+_DETECTOR,0.7
19,5,0,0,5,5,2.9,2,CASCADE_3+_DETECTOR,0.7
20,5,0,0,5,5,2.53,2,CASCADE_3+_DETECTOR,0.7
21,5,0,0,5,5,2.11,2,CASCADE_3+_DETECTOR,0.7
22,5,0,0,5,5,2.78,2,CASCADE_3+_DETECTOR,0.7
23,4,0,0,4,5,2.07,2,CASCADE_3+_DETECTOR,0.7
24,4,0,0,4,5,2.15,2,CASCADE_3+_DETECTOR,0.7
25,4,0,0,4,5,2.7,2,CASCADE_3+_DETECTOR,0.7
26,4,0,0,4,5,2.15,2,CASCADE_3+_DETECTOR,0.7
27,4,0,0,4,5,2.61,2,CASCADE_3+_DETECTOR,0.7
28,4,0,0,4,4,2.78,2,CASCADE_3+_DETECTOR,0.7
29,4,0,0,4,4,2.67,2,CASCADE_3+_DETECTOR,0.7
30,4,0,0,4,4,2.53,2,CASCADE_3+_DETECTOR,0.7
31,4,0,0,4,4,2.66,2,CASCADE_3+_DETECTOR,0.7
32,4,0,0,4,4,2.5,2,CASCADE_3+_DETECTOR,0.7
33,4,0,0,4,4,2.2,2,CASCADE_3+_DETECTOR,0.7
34,5,0,0,5,5,2.16,2,CASCADE_3+_DETECTOR,0.7
35,5,0,0,5,5,2.37,2,CASCADE_3+_DETECTOR,0.7
36,5,0,0,5,5,1.79,1,FOUNTAIN_3+_DETECTOR,0.7
37,5,0,0,5,5,2.46,2,CASCADE_3+_DETECTOR,0.7
38,5,0,0,5,5,2.84,2,CASCADE_3+_DETECTOR,0.7
39,5,0,0,5,5,2.58,2,CASCADE_3+_DETECTOR,0.7
40,5,0,0,5,5,3.02,2,CASCADE_3+_DETECTOR,0.7
41,5,0,0,5,5,2.82,2,CASCADE_3+_DETECTOR,0.7
42,5,0,0,5,5,2.68,2,CASCADE_3+_DETECTOR,0.7
43,5,0,0,5,5,2.49,2,CASCADE_3+_DETECTOR,0.7
44,5,0,0,5,5,2.68,2,CASCADE_3+_DETECTOR,0.7
45,5,0,0,5,5,2.84,2,CASCADE_3+_DETECTOR,0.7
46,5,0,0,5,5,2.64,2,CASCADE_3+_DETECTOR,0.7
47,5,0,0,5,5,2.66,2,CASCADE_3+_DETECTOR,0.7
48,5,0,0,5,5,2.66,2,CASCADE_3+_DETECTOR,0.7
49,5,0,0,5,5,3.05,2,CASCADE_3+_DETECTOR,0.7
50,5,0,0,5,5,3.0,2,CASCADE_3+_DETECTOR,0.7
51,5,0,0,5,5,2.5,2,CASCADE_3+_DETECTOR,0.7
52,5,0,0,5,5,2.6,2,CASCADE_3+_DETECTOR,0.7
53,5,0,0,5,5,2.8,2,CASCADE_3+_DETECTOR,0.7
54,5,0,0,5,5,2.07,2,CASCADE_3+_DETECTOR,0.7
55,5,0,0,5,5,2.18,2,CASCADE_3+_DETECTOR,0.7
56,5,0,0,5,5,1.94,2,CASCADE_3+_DETECTOR,0.7
57,5,0,0,5,5,1.63,2,CASCADE_3+_DETECTOR,0.7
58,6,0,0,6,6,1.43,2,CASCADE_3+_DETECTOR,0.7
59,6,0,0,6,6,2.93,2,CASCADE_3+_DETECTOR,0.7
60,6,0,0,6,6,2.65,2,CASCADE_3+_DETECTOR,0.7
61,6,0,0,6,6,2.83,2,CASCADE_3+_DETECTOR,0.7
62,6,0,0,6,6,2.97,2,CASCADE_3+_DETECTOR,0.7
63,5,0,0,5,6,2.64,2,CASCADE_3+_DETECTOR,0.7
64,5,0,0,5,5,2.35,2,CASCADE_3+_DETECTOR,0.7
65,5,0,0,5,5,1.85,1,FOUNTAIN_3+_DETECTOR,0.7
66,5,0,0,5,5,2.19,2,CASCADE_3+_DETECTOR,0.7
67,5,0,0,5,5,2.56,2,CASCADE_3+_DETECTOR,0.7
68,5,0,0,5,5,1.97,2,CASCADE_3+_DETECTOR,0.7
69,5,0,0,5,5,2.21,2,CASCADE_3+_DETECTOR,0.7
70,5,0,0,5,5,2.52,2,CASCADE_3+_DETECTOR,0.7
71,5,0,0,5,5,2.26,2,CASCADE_3+_DETECTOR,0.7
72,5,0,0,5,5,2.37,2,CASCADE_3+_DETECTOR,0.7
73,4,0,0,4,5,1.62,2,CASCADE_3+_DETECTOR,0.7
74,4,0,0,4,5,1.37,2,CASCADE_3+_DETECTOR,0.7
75,4,0,0,4,5,1.78,2,CASCADE_3+_DETECTOR,0.7
76,4,0,0,4,5,1.67,1,FOUNTAIN_3+_DETECTOR,0.7
77,4,0,0,4,5,2.02,2,CASCADE_3+_DETECTOR,0.7
78,4,0,0,4,4,2.0,2,CASCADE_3+_DETECTOR,0.7
79,4,0,0,4,4,2.03,1,FOUNTAIN_3+_DETECTOR,0.7
80,4,0,0,4,4,1.86,2,CASCADE_3+_DETECTOR,0.7
81,4,0,0,4,4,2.03,2,CASCADE_3+_DETECTOR,0.7
82,4,0,0,4,4,2.04,2,CASCADE_3+_DETECTOR,0.7
83,5,0,0,5,5,1.19,1,FOUNTAIN_3+_DETECTOR,0.7
84,5,0,0,5,5,2.25,2,CASCADE_3+_DETECTOR,0.7
85,5,0,0,5,5,3.02,2,CASCADE_3+_DETECTOR,0.7
86,5,0,0,5,5,2.69,2,CASCADE_3+_DETECTOR,0.7
87,5,0,0,5,5,2.67,2,CASCADE_3+_DETECTOR,0.7
88,5,0,0,5,5,2.6,2,CASCADE_3+_DETECTOR,0.7
89,5,0,0,5,5,2.54,2,CASCADE_3+_DETECTOR,0.7
90,5,0,0,5,5,2.84,2,CASCADE_3+_DETECTOR,0.7
91,5,0,0,5,5,2.62,2,CASCADE_3+_DETECTOR,0.7
92,5,0,0,5,5,2.68,2,CASCADE_3+_DETECTOR,0.7
93,5,0,0,5,5,2.26,2,CASCADE_3+_DETECTOR,0.7
94,5,0,0,5,5,2.34,2,CASCADE_3+_DETECTOR,0.7
95,5,0,0,5,5,1.91,1,FOUNTAIN_3+_DETECTOR,0.7
96,5,0,0,5,5,2.42,2,CASCADE_3+_DETECTOR,0.7
97,5,0,0,5,5,3.41,2,CASCADE_3+_DETECTOR,0.7
98,4,0,0,4,5,2.1,2,CASCADE_3+_DETECTOR,0.7
99,4,0,0,4,5,2.06,2,CASCADE_3+_DETECTOR,0.7
100,4,0,0,4,5,2.06,2,CASCADE_3+_DETECTOR,0.7
101,4,0,0,4,5,1.92,1,FOUNTAIN_3+_DETECTOR,0.7
102,4,0,0,4,5,1.91,2,CASCADE_3+_DETECTOR,0.7
103,3,0,0,3,4,2.84,2,CASCADE_3+_DETECTOR,0.7
104,3,0,0,3,4,2.6,2,CASCADE_3+_DETECTOR,0.7
105,3,0,0,3,4,2.82,2,CASCADE_3+_DETECTOR,0.7
106,3,0,0,3,4,2.75,2,CASCADE_3+_DETECTOR,0.7
107,3,0,0,3,4,2.86,2,CASCADE_3+_DETECTOR,0.7
108,3,0,0,3,3,2.91,2,CASCADE_3+_DETECTOR,0.7
