frame,n_in_hand_left,n_in_hand_right,n_total,instant_dirs,smoothed_dirs,pattern,confidence
2,0,0,2,0,0,TWO_BALL,0.5
3,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
4,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
5,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
6,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
7,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
8,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
9,0,0,3,2,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
10,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
11,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
12,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
13,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
14,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
15,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
16,0,0,3,2,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
17,0,0,3,2,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
18,0,0,1,1,1,SINGLE_BALL,0.5
19,0,0,1,1,1,SINGLE_BALL,0.5
20,0,0,1,1,1,SINGLE_BALL,0.5
21,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
22,0,0,3,2,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
23,0,0,2,1,1,TWO_BALL,0.5
24,0,0,2,1,1,TWO_BALL,0.5
25,0,0,2,1,1,TWO_BALL,0.5
26,0,0,2,1,1,TWO_BALL,0.5
27,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
28,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
29,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
30,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
31,1,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
32,0,0,2,1,1,TWO_BALL,0.5
33,0,0,2,1,1,TWO_BALL,0.5
34,0,0,1,1,1,SINGLE_BALL,0.5
35,0,0,1,1,1,SINGLE_BALL,0.5
36,0,0,1,1,1,SINGLE_BALL,0.5
37,0,0,1,1,1,SINGLE_BALL,0.5
38,0,0,1,1,1,SINGLE_BALL,0.5
39,0,0,2,1,1,TWO_BALL,0.5
40,0,0,2,1,1,TWO_BALL,0.5
41,0,0,2,1,1,TWO_BALL,0.5
42,0,0,2,1,1,TWO_BALL,0.5
43,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
44,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
45,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
46,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
47,0,0,2,2,2,TWO_BALL,0.5
48,0,0,2,2,2,TWO_BALL,0.5
49,0,0,2,2,2,TWO_BALL,0.5
50,0,0,2,2,2,TWO_BALL,0.5
51,1,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
52,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
53,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
54,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
55,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
56,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
57,0,0,2,2,2,TWO_BALL,0.5
58,0,0,2,2,2,TWO_BALL,0.5
59,0,0,2,2,2,TWO_BALL,0.5
60,0,0,2,2,2,TWO_BALL,0.5
61,0,0,2,2,2,TWO_BALL,0.5
62,0,0,2,1,2,TWO_BALL,0.5
63,0,0,2,2,2,TWO_BALL,0.5
64,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
65,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
66,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
67,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
68,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
69,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
70,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
71,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
72,0,0,3,2,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
73,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
74,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
75,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
76,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
77,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
78,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
79,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
80,0,0,2,1,1,TWO_BALL,0.5
81,0,0,2,1,1,TWO_BALL,0.5
82,0,0,2,1,1,TWO_BALL,0.5
83,0,0,2,1,1,TWO_BALL,0.5
84,0,0,2,1,1,TWO_BALL,0.5
85,0,0,2,1,1,TWO_BALL,0.5
86,0,0,2,2,2,TWO_BALL,0.5
87,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
88,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
89,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
90,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
91,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
92,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
93,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
94,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
95,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
96,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
97,0,1,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
98,0,0,2,2,2,TWO_BALL,0.5
99,0,0,1,2,2,SINGLE_BALL,0.5
100,0,0,1,2,2,SINGLE_BALL,0.5
101,0,0,1,1,2,SINGLE_BALL,0.5
102,0,0,1,1,1,SINGLE_BALL,0.5
103,0,0,1,1,1,SINGLE_BALL,0.5
104,0,0,3,0,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
105,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
106,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
107,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
108,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
109,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
110,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
111,0,0,3,2,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
112,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
113,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
114,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
115,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
116,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
117,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
118,0,0,3,1,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
119,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
120,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
121,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
122,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
123,0,0,2,2,2,TWO_BALL,0.5
124,0,0,2,2,2,TWO_BALL,0.5
125,0,0,2,2,2,TWO_BALL,0.5
126,0,1,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
127,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
128,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
129,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
130,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
131,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
132,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
133,0,0,3,1,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
134,0,0,2,2,2,TWO_BALL,0.5
135,0,0,2,1,2,TWO_BALL,0.5
136,0,0,2,1,2,TWO_BALL,0.5
137,0,0,2,1,2,TWO_BALL,0.5
138,0,0,3,1,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
139,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
140,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
141,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
142,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
143,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
144,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
145,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
146,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
147,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
148,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
149,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
150,0,0,1,2,2,SINGLE_BALL,0.5
151,0,0,1,2,2,SINGLE_BALL,0.5
152,0,0,1,2,2,SINGLE_BALL,0.5
153,0,0,1,2,2,SINGLE_BALL,0.5
154,0,0,1,2,2,SINGLE_BALL,0.5
155,0,0,1,1,1,SINGLE_BALL,0.5
156,0,0,1,1,1,SINGLE_BALL,0.5
157,0,0,2,1,1,TWO_BALL,0.5
158,0,0,2,1,1,TWO_BALL,0.5
159,0,0,2,1,1,TWO_BALL,0.5
160,0,0,2,1,1,TWO_BALL,0.5
161,0,0,1,1,1,SINGLE_BALL,0.5
162,0,0,1,1,1,SINGLE_BALL,0.5
163,0,0,1,1,1,SINGLE_BALL,0.5
164,0,0,1,1,1,SINGLE_BALL,0.5
165,0,0,2,1,1,TWO_BALL,0.5
166,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
167,0,0,2,1,1,TWO_BALL,0.5
168,0,0,2,0,1,TWO_BALL,0.5
169,0,0,2,1,1,TWO_BALL,0.5
170,0,0,2,1,1,TWO_BALL,0.5
171,0,0,2,1,1,TWO_BALL,0.5
172,0,0,2,1,1,TWO_BALL,0.5
173,0,0,2,1,1,TWO_BALL,0.5
174,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
175,0,0,3,2,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
176,0,0,3,2,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
177,0,0,3,2,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
178,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
179,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
180,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
181,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
182,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
183,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
184,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
185,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
186,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
187,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
188,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
189,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
190,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
191,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
192,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
193,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
194,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
195,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
196,0,0,2,2,2,TWO_BALL,0.5
197,0,0,2,2,2,TWO_BALL,0.5
198,0,0,2,2,2,TWO_BALL,0.5
199,0,0,2,2,2,TWO_BALL,0.5
200,0,0,2,2,2,TWO_BALL,0.5
201,0,0,2,2,2,TWO_BALL,0.5
202,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
203,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
204,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
205,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
206,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
207,0,0,2,2,2,TWO_BALL,0.5
208,0,0,1,2,2,SINGLE_BALL,0.5
209,0,0,0,2,2,NO_BALL,1.0
210,0,0,0,2,2,NO_BALL,1.0
211,0,0,0,2,2,NO_BALL,1.0
212,0,0,1,2,2,SINGLE_BALL,0.5
213,0,0,1,2,2,SINGLE_BALL,0.5
214,0,0,0,0,1,NO_BALL,1.0
215,0,0,0,0,1,NO_BALL,1.0
216,0,0,0,0,1,NO_BALL,1.0
217,0,0,0,0,1,NO_BALL,1.0
218,0,0,0,0,1,NO_BALL,1.0
219,0,0,0,0,1,NO_BALL,1.0
220,0,0,1,0,1,SINGLE_BALL,0.5
221,0,0,1,1,1,SINGLE_BALL,0.5
222,0,0,1,1,1,SINGLE_BALL,0.5
223,0,0,1,1,1,SINGLE_BALL,0.5
224,0,0,1,1,1,SINGLE_BALL,0.5
225,0,0,1,1,1,SINGLE_BALL,0.5
226,0,0,1,1,1,SINGLE_BALL,0.5
227,0,0,1,1,1,SINGLE_BALL,0.5
228,0,0,1,1,1,SINGLE_BALL,0.5
229,0,0,1,1,1,SINGLE_BALL,0.5
230,0,0,1,1,1,SINGLE_BALL,0.5
231,0,0,1,1,1,SINGLE_BALL,0.5
232,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
233,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
234,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
235,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
236,0,0,2,2,1,TWO_BALL,0.5
237,0,0,2,1,1,TWO_BALL,0.5
238,0,0,2,2,2,TWO_BALL,0.5
239,0,0,2,2,2,TWO_BALL,0.5
240,0,0,2,2,2,TWO_BALL,0.5
241,0,0,2,2,2,TWO_BALL,0.5
242,0,0,2,2,2,TWO_BALL,0.5
243,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
244,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
245,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
246,0,0,3,1,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
247,0,0,3,2,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
248,0,0,3,2,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
249,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
250,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
251,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
252,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
253,0,0,2,1,1,TWO_BALL,0.5
254,0,0,2,1,1,TWO_BALL,0.5
255,0,0,2,1,1,TWO_BALL,0.5
256,0,0,1,1,1,SINGLE_BALL,0.5
257,0,0,2,1,1,TWO_BALL,0.5
258,0,0,2,1,1,TWO_BALL,0.5
259,0,0,2,1,1,TWO_BALL,0.5
260,0,0,2,1,1,TWO_BALL,0.5
261,0,0,2,1,1,TWO_BALL,0.5
262,0,0,2,1,1,TWO_BALL,0.5
263,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
264,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
265,0,0,3,1,1,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7
