pattern_v6,confidence_v6,source,agree,v2_confident,v5_confident,frame,v2_pattern,v2_confidence,v5_pattern,v5_confidence,smoothed_dirs,n_total
TWO_BALL,0.465,agree,True,False,False,2,TWO_BALL,0.429,TWO_BALL,0.5,0,2
FOUNTAIN_3+,0.63,v5_confident,True,False,True,3,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,4,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,5,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,6,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,7,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,8,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,9,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,10,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,11,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,12,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,13,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,14,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,15,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,16,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,17,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
SINGLE_BALL,0.711,agree,True,True,False,18,SINGLE_BALL,0.921,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.711,agree,True,True,False,19,SINGLE_BALL,0.921,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.711,agree,True,True,False,20,SINGLE_BALL,0.921,SINGLE_BALL,0.5,1,1
FOUNTAIN_3+,0.63,v5_confident,True,False,True,21,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,22,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
TWO_BALL,0.588,agree,True,True,False,23,TWO_BALL,0.675,TWO_BALL,0.5,1,2
TWO_BALL,0.588,agree,True,True,False,24,TWO_BALL,0.675,TWO_BALL,0.5,1,2
TWO_BALL,0.588,agree,True,True,False,25,TWO_BALL,0.675,TWO_BALL,0.5,1,2
TWO_BALL,0.588,agree,True,True,False,26,TWO_BALL,0.675,TWO_BALL,0.5,1,2
FOUNTAIN_3+,0.63,v5_confident,True,False,True,27,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
