pattern_v6,confidence_v6,source,agree,v2_confident,v5_confident,frame,v2_pattern,v2_confidence,v5_pattern,v5_confidence,smoothed_dirs,n_total
MIXED_3+_UNCONFIRMED,0.279,both_unconf,False,False,False,2,MIXED_3+_UNCONFIRMED,0.259,MIXED_3+_UNCONFIRMED,0.3,0,5
CASCADE_3+,0.63,v5_confident,True,False,True,3,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,4,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,5,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,6,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,7,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,8,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,9,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,10,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,11,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,12,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,13,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,14,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,15,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,16,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,17,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,18,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,19,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,20,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,21,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,22,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,23,MIXED_3+_UNCONFIRMED,0.26,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.63,v5_confident,True,False,True,24,MIXED_3+_UNCONFIRMED,0.26,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.63,v5_confident,True,False,True,25,MIXED_3+_UNCONFIRMED,0.26,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
