pattern_v6b,confidence_v6b,source,frame,v2_pattern,v2_confidence,v5_pattern,v5_confidence,smoothed_dirs,n_total
TWO_BALL,0.465,agree,2,TWO_BALL,0.429,TWO_BALL,0.5,0,2
FOUNTAIN_3+,0.7,agree,3,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,4,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,5,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,6,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,7,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,8,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,9,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,10,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,11,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,12,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,13,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,14,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,15,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,16,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,17,MIXED_3+_UNCONFIRMED,0.296,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
SINGLE_BALL,0.711,agree,18,SINGLE_BALL,0.921,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.711,agree,19,SINGLE_BALL,0.921,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.711,agree,20,SINGLE_BALL,0.921,SINGLE_BALL,0.5,1,1
FOUNTAIN_3+,0.7,agree,21,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,22,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
TWO_BALL,0.588,agree,23,TWO_BALL,0.675,TWO_BALL,0.5,1,2
TWO_BALL,0.588,agree,24,TWO_BALL,0.675,TWO_BALL,0.5,1,2
TWO_BALL,0.588,agree,25,TWO_BALL,0.675,TWO_BALL,0.5,1,2
TWO_BALL,0.588,agree,26,TWO_BALL,0.675,TWO_BALL,0.5,1,2
FOUNTAIN_3+,0.7,agree,27,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,28,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,29,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,30,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,31,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
TWO_BALL,0.494,agree,32,TWO_BALL,0.489,TWO_BALL,0.5,1,2
TWO_BALL,0.494,agree,33,TWO_BALL,0.489,TWO_BALL,0.5,1,2
SINGLE_BALL,0.524,agree,34,SINGLE_BALL,0.549,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.524,agree,35,SINGLE_BALL,0.549,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.524,agree,36,SINGLE_BALL,0.549,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.524,agree,37,SINGLE_BALL,0.549,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.524,agree,38,SINGLE_BALL,0.549,SINGLE_BALL,0.5,1,1
TWO_BALL,0.494,agree,39,TWO_BALL,0.489,TWO_BALL,0.5,1,2
TWO_BALL,0.494,agree,40,TWO_BALL,0.489,TWO_BALL,0.5,1,2
TWO_BALL,0.494,agree,41,TWO_BALL,0.489,TWO_BALL,0.5,1,2
TWO_BALL,0.494,agree,42,TWO_BALL,0.489,TWO_BALL,0.5,1,2
CASCADE_3+,0.7,agree,43,MIXED_3+_UNCONFIRMED,0.234,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,44,MIXED_3+_UNCONFIRMED,0.234,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,45,MIXED_3+_UNCONFIRMED,0.234,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,46,MIXED_3+_UNCONFIRMED,0.234,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
TWO_BALL,0.494,agree,47,TWO_BALL,0.489,TWO_BALL,0.5,2,2
TWO_BALL,0.494,agree,48,TWO_BALL,0.489,TWO_BALL,0.5,2,2
TWO_BALL,0.494,agree,49,TWO_BALL,0.489,TWO_BALL,0.5,2,2
TWO_BALL,0.494,agree,50,TWO_BALL,0.489,TWO_BALL,0.5,2,2
CASCADE_3+,0.7,agree,51,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,52,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,53,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,54,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,55,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,56,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
TWO_BALL,0.617,agree,57,TWO_BALL,0.735,TWO_BALL,0.5,2,2
TWO_BALL,0.617,agree,58,TWO_BALL,0.735,TWO_BALL,0.5,2,2
TWO_BALL,0.617,agree,59,TWO_BALL,0.735,TWO_BALL,0.5,2,2
TWO_BALL,0.617,agree,60,TWO_BALL,0.735,TWO_BALL,0.5,2,2
TWO_BALL,0.617,agree,61,TWO_BALL,0.735,TWO_BALL,0.5,2,2
TWO_BALL,0.617,agree,62,TWO_BALL,0.735,TWO_BALL,0.5,2,2
TWO_BALL,0.617,agree,63,TWO_BALL,0.735,TWO_BALL,0.5,2,2
CASCADE_3+,0.7,agree,64,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,65,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,66,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,67,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,68,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,69,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,70,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,71,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
FOUNTAIN_3+,0.7,agree,72,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
