frame,pattern,confidence,n_window_events,n_far,n_ambig,n_low_slope,guard_passed,guard_reason
2,TWO_BALL,0.5,0,0,0,0,True,no_events
3,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
4,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
5,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
6,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
7,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
8,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
9,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
10,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
11,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
12,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
13,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
14,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
15,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
16,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
17,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
18,SINGLE_BALL,0.5,0,0,0,0,True,no_events
19,SINGLE_BALL,0.5,0,0,0,0,True,no_events
20,SINGLE_BALL,0.5,0,0,0,0,True,no_events
21,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
22,MIXED_3+_UNCONFIRMED,0.3,1,0,0,1,False,low_slope_ratio=1.00
23,TWO_BALL,0.5,1,0,0,1,False,low_slope_ratio=1.00
24,TWO_BALL,0.5,1,0,0,1,False,low_slope_ratio=1.00
25,TWO_BALL,0.5,1,0,0,1,False,low_slope_ratio=1.00
26,TWO_BALL,0.5,1,0,0,1,False,low_slope_ratio=1.00
27,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
28,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
29,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
