frame,pattern,confidence,n_window_events,n_far,n_ambig,n_low_slope,guard_passed,guard_reason
2,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
3,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
4,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
5,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
6,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
7,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
8,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
9,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
10,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
11,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
12,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
13,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
14,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
15,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
16,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
17,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
18,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
19,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
20,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
21,MIXED_3+_UNCONFIRMED,0.3,0,0,0,0,True,no_events
22,MIXED_3+_UNCONFIRMED,0.3,1,0,0,1,False,low_slope_ratio=1.00
23,MIXED_3+_UNCONFIRMED,0.3,1,0,0,1,False,low_slope_ratio=1.00
24,MIXED_3+_UNCONFIRMED,0.3,1,0,0,1,False,low_slope_ratio=1.00
25,MIXED_3+_UNCONFIRMED,0.3,1,0,0,1,False,low_slope_ratio=1.00
26,MIXED_3+_UNCONFIRMED,0.3,1,0,0,1,False,low_slope_ratio=1.00
27,MIXED_3+_UNCONFIRMED,0.3,1,0,0,1,False,low_slope_ratio=1.00
28,MIXED_3+_UNCONFIRMED,0.3,1,0,0,1,False,low_slope_ratio=1.00
29,MIXED_3+_UNCONFIRMED,0.3,1,0,0,1,False,low_slope_ratio=1.00
30,MIXED_3+_UNCONFIRMED,0.3,1,0,0,1,False,low_slope_ratio=1.00
31,MIXED_3+_UNCONFIRMED,0.3,1,0,0,1,False,low_slope_ratio=1.00
32,MIXED_3+_UNCONFIRMED,0.3,1,0,0,1,False,low_slope_ratio=1.00
33,MIXED_3+_UNCONFIRMED,0.3,1,0,0,1,False,low_slope_ratio=1.00
34,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
35,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
36,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
37,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
38,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
39,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
40,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
41,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
42,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
43,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
44,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
45,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
46,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
47,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
48,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
49,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
50,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
51,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
52,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
53,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
54,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
55,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
56,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
57,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
58,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
59,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
60,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
61,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
62,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
63,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
64,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
65,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
66,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
67,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
68,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
69,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
70,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
71,MIXED_3+_UNCONFIRMED,0.3,2,0,0,2,False,low_slope_ratio=1.00
72,MIXED_3+_UNCONFIRMED,0.25,3,0,0,3,False,low_slope_ratio=1.00
73,MIXED_3+_UNCONFIRMED,0.25,3,0,0,3,False,low_slope_ratio=1.00
74,MIXED_3+_UNCONFIRMED,0.25,3,0,0,3,False,low_slope_ratio=1.00
75,MIXED_3+_UNCONFIRMED,0.25,3,0,0,3,False,low_slope_ratio=1.00
76,MIXED_3+_UNCONFIRMED,0.25,3,0,0,3,False,low_slope_ratio=1.00
