frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,n_recent_events,same_hand_run,alternation_score,catch_rate_hz,time_span_K
2,2,0,0,2,0.962,TWO_BALL,0.962,0,3,0,0.0,0.0,0
3,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.504,0,3,0,0.0,0.0,0
4,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.504,0,3,0,0.0,0.0,0
5,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.504,0,3,0,0.0,0.0,0
6,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.504,0,3,0,0.0,0.0,0
7,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.504,0,3,0,0.0,0.0,0
8,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.504,0,3,0,0.0,0.0,0
9,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.504,0,3,0,0.0,0.0,0
10,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.504,0,3,0,0.0,0.0,0
11,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.504,0,3,0,0.0,0.0,0
12,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.504,0,3,0,0.0,0.0,0
13,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.504,0,4,0,0.0,0.0,0
14,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.504,0,4,0,0.0,0.0,0
15,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.504,0,4,0,0.0,0.0,0
16,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.504,0,4,0,0.0,0.0,0
17,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.504,0,4,0,0.0,0.0,0
18,1,0,0,1,0.598,SINGLE_BALL,0.598,0,4,0,0.0,0.0,0
19,1,0,0,1,0.598,SINGLE_BALL,0.598,0,4,0,0.0,0.0,0
20,1,0,0,1,0.598,SINGLE_BALL,0.598,0,4,0,0.0,0.0,0
21,3,0,0,3,0.755,MIXED_3+_UNCONFIRMED,0.453,0,4,0,0.0,0.0,0
22,3,0,0,3,0.755,MIXED_3+_UNCONFIRMED,0.453,1,4,0,0.0,0.0,0
23,2,0,0,2,0.799,TWO_BALL,0.799,1,4,0,0.0,0.0,0
24,2,0,0,2,0.799,TWO_BALL,0.799,1,4,0,0.0,0.0,0
25,2,0,0,2,0.799,TWO_BALL,0.799,1,4,0,0.0,0.0,0
26,2,0,0,2,0.799,TWO_BALL,0.799,1,4,0,0.0,0.0,0
27,3,0,0,3,0.755,MIXED_3+_UNCONFIRMED,0.453,2,4,1,0.0,0.0,5
28,3,0,0,3,0.755,MIXED_3+_UNCONFIRMED,0.453,2,4,1,0.0,0.0,5
29,3,0,0,3,0.755,MIXED_3+_UNCONFIRMED,0.453,2,4,1,0.0,0.0,5
30,3,0,0,3,0.755,MIXED_3+_UNCONFIRMED,0.453,2,4,1,0.0,0.0,5
31,3,0,0,3,0.755,CASCADE_3+,0.755,3,4,1,0.5,6.67,9
32,2,0,0,2,0.834,TWO_BALL,0.834,3,4,0,0.0,0.0,9
33,2,0,0,2,0.834,TWO_BALL,0.834,3,4,0,0.0,0.0,9
34,1,0,0,1,0.668,SINGLE_BALL,0.668,3,4,0,0.0,0.0,9
35,1,0,0,1,0.668,SINGLE_BALL,0.668,3,4,0,0.0,0.0,9
36,1,0,0,1,0.668,SINGLE_BALL,0.668,3,4,0,0.0,0.0,9
37,1,0,0,1,0.668,SINGLE_BALL,0.668,3,4,0,0.0,0.0,9
38,1,0,0,1,0.668,SINGLE_BALL,0.668,3,4,0,0.0,0.0,9
39,2,0,0,2,0.834,TWO_BALL,0.834,3,4,0,0.0,0.0,9
40,2,0,0,2,0.834,TWO_BALL,0.834,3,4,0,0.0,0.0,9
41,2,0,0,2,0.834,TWO_BALL,0.834,3,4,0,0.0,0.0,9
42,2,0,0,2,0.834,TWO_BALL,0.834,3,4,0,0.0,0.0,9
43,3,0,0,3,0.755,MIXED_3+,0.755,4,4,2,0.333,6.67,21
44,3,0,0,3,0.755,MIXED_3+,0.755,4,4,2,0.333,6.67,21
45,3,0,0,3,0.755,MIXED_3+,0.755,4,4,2,0.333,6.67,21
46,3,0,0,3,0.755,MIXED_3+,0.755,4,4,2,0.333,6.67,21
47,2,0,0,2,0.834,TWO_BALL,0.834,4,4,0,0.0,0.0,21
48,2,0,0,2,0.834,TWO_BALL,0.834,4,4,0,0.0,0.0,21
49,2,0,0,2,0.834,TWO_BALL,0.834,4,4,0,0.0,0.0,21
50,2,0,0,2,0.834,TWO_BALL,0.834,4,4,0,0.0,0.0,21
51,3,0,0,3,0.877,MIXED_3+,0.877,4,4,2,0.333,6.67,21
52,3,0,0,3,0.877,MIXED_3+,0.877,4,4,2,0.333,6.67,21
53,3,0,0,3,0.877,MIXED_3+,0.877,4,3,2,0.333,6.67,21
54,3,0,0,3,0.877,MIXED_3+,0.877,4,3,2,0.333,6.67,21
55,3,0,0,3,0.877,MIXED_3+,0.877,4,3,2,0.333,6.67,21
56,3,0,0,3,0.877,MIXED_3+,0.877,4,3,2,0.333,6.67,21
57,2,0,0,2,0.816,TWO_BALL,0.816,4,3,0,0.0,0.0,21
58,2,0,0,2,0.816,TWO_BALL,0.816,4,2,0,0.0,0.0,21
59,2,0,0,2,0.816,TWO_BALL,0.816,4,2,0,0.0,0.0,21
60,2,0,0,2,0.816,TWO_BALL,0.816,4,2,0,0.0,0.0,21
61,2,0,0,2,0.816,TWO_BALL,0.816,4,2,0,0.0,0.0,21
62,2,0,0,2,0.816,TWO_BALL,0.816,4,1,0,0.0,0.0,21
63,2,0,0,2,0.816,TWO_BALL,0.816,4,1,0,0.0,0.0,21
64,3,0,0,3,0.877,MIXED_3+,0.877,4,1,2,0.333,6.67,21
65,3,0,0,3,0.877,MIXED_3+,0.877,4,1,2,0.333,6.67,21
66,3,0,0,3,0.877,MIXED_3+,0.877,4,1,2,0.333,6.67,21
67,3,0,0,3,0.877,MIXED_3+,0.877,4,2,2,0.333,6.67,21
68,3,0,0,3,0.877,MIXED_3+,0.877,4,2,2,0.333,6.67,21
69,3,0,0,3,0.877,MIXED_3+,0.877,4,2,2,0.333,6.67,21
70,3,0,0,3,0.877,MIXED_3+,0.877,4,2,2,0.333,6.67,21
71,3,0,0,3,0.877,MIXED_3+,0.877,4,2,2,0.333,6.67,21
72,3,0,0,3,0.877,MIXED_3+,0.877,4,2,2,0.333,6.67,21
73,3,0,0,3,0.877,MIXED_3+,0.877,4,2,2,0.333,6.67,21
74,3,0,0,3,0.877,MIXED_3+,0.877,4,1,2,0.333,6.67,21
75,3,0,0,3,0.877,MIXED_3+,0.877,4,1,2,0.333,6.67,21
76,3,0,0,3,0.877,MIXED_3+,0.877,4,1,2,0.333,6.67,21
77,3,0,0,3,0.877,MIXED_3+,0.877,4,1,2,0.333,6.67,21
78,3,0,0,3,0.877,MIXED_3+,0.877,4,1,2,0.333,6.67,21
79,3,0,0,3,0.877,MIXED_3+,0.877,4,1,2,0.333,6.67,21
80,2,0,0,2,0.816,TWO_BALL,0.816,4,1,0,0.0,0.0,21
81,2,0,0,2,0.816,TWO_BALL,0.816,4,1,0,0.0,0.0,21
82,2,0,0,2,0.816,TWO_BALL,0.816,4,1,0,0.0,0.0,21
83,2,0,0,2,0.816,TWO_BALL,0.816,4,1,0,0.0,0.0,21
84,2,0,0,2,0.816,TWO_BALL,0.816,4,1,0,0.0,0.0,21
85,2,0,0,2,0.816,TWO_BALL,0.816,4,1,0,0.0,0.0,21
86,2,0,0,2,0.816,TWO_BALL,0.816,4,1,0,0.0,0.0,21
87,3,0,0,3,0.822,MIXED_3+,0.822,4,1,2,0.333,6.67,21
88,3,0,0,3,0.822,MIXED_3+,0.822,4,1,2,0.333,6.67,21
89,3,0,0,3,0.822,MIXED_3+,0.822,4,1,2,0.333,6.67,21
90,3,0,0,3,0.822,MIXED_3+,0.822,4,1,2,0.333,6.67,21
91,3,0,0,3,0.822,MIXED_3+,0.822,4,1,2,0.333,6.67,21
92,3,0,0,3,0.822,MIXED_3+,0.822,4,1,2,0.333,6.67,21
93,3,0,0,3,0.822,MIXED_3+,0.822,4,1,2,0.333,6.67,21
94,3,0,0,3,0.822,MIXED_3+,0.822,4,1,2,0.333,6.67,21
95,3,0,0,3,0.822,MIXED_3+,0.822,4,1,2,0.333,6.67,21
96,3,0,0,3,0.822,MIXED_3+,0.822,4,2,2,0.333,6.67,21
97,3,0,1,3,0.822,MIXED_3+,0.822,4,2,1,0.667,0.91,70
98,2,0,0,2,0.816,TWO_BALL,0.816,4,2,0,0.0,0.0,70
99,1,0,0,1,0.668,SINGLE_BALL,0.668,4,2,0,0.0,0.0,70
100,1,0,0,1,0.668,SINGLE_BALL,0.668,4,2,0,0.0,0.0,70
101,1,0,0,1,0.668,SINGLE_BALL,0.668,4,2,0,0.0,0.0,70
102,1,0,0,1,0.668,SINGLE_BALL,0.668,4,2,0,0.0,0.0,70
103,1,0,0,1,0.668,SINGLE_BALL,0.668,4,2,0,0.0,0.0,70
104,3,0,0,3,0.844,MIXED_3+,0.844,4,2,1,0.667,0.91,70
105,3,0,0,3,0.844,MIXED_3+,0.844,4,2,1,0.667,0.91,70
106,3,0,0,3,0.844,MIXED_3+,0.844,4,2,1,0.667,0.91,70
107,3,0,0,3,0.844,MIXED_3+,0.844,4,2,1,0.667,0.91,70
108,3,0,0,3,0.844,MIXED_3+,0.844,4,2,1,0.667,0.91,70
109,3,0,0,3,0.844,MIXED_3+,0.844,4,2,1,0.667,0.91,70
110,3,0,0,3,0.844,MIXED_3+,0.844,4,2,1,0.667,0.91,70
111,3,0,0,3,0.844,MIXED_3+,0.844,4,2,1,0.667,0.91,70
112,3,0,0,3,0.844,MIXED_3+,0.844,4,2,1,0.667,0.91,70
113,3,0,0,3,0.844,MIXED_3+,0.844,4,2,1,0.667,0.91,70
114,3,0,0,3,0.844,MIXED_3+,0.844,4,2,1,0.667,0.91,70
115,3,0,0,3,0.844,MIXED_3+,0.844,4,2,1,0.667,0.91,70
116,3,0,0,3,0.844,MIXED_3+,0.844,4,2,1,0.667,0.91,70
117,3,0,0,3,0.844,MIXED_3+,0.844,4,2,1,0.667,0.91,70
118,3,0,0,3,0.844,MIXED_3+,0.844,4,2,1,0.667,0.91,70
119,3,0,0,3,0.844,MIXED_3+,0.844,4,2,1,0.667,0.91,70
120,3,0,0,3,0.844,MIXED_3+,0.844,4,2,1,0.667,0.91,70
121,3,0,0,3,0.844,MIXED_3+,0.844,4,2,1,0.667,0.91,70
122,3,0,0,3,0.844,MIXED_3+,0.844,4,2,1,0.667,0.91,70
123,2,0,0,2,0.932,TWO_BALL,0.932,4,2,0,0.0,0.0,70
124,2,0,0,2,0.932,TWO_BALL,0.932,4,2,0,0.0,0.0,70
125,2,0,0,2,0.932,TWO_BALL,0.932,4,2,0,0.0,0.0,70
126,3,0,1,3,0.9,MIXED_3+_UNCONFIRMED,0.45,4,2,2,0.333,0.91,95
127,3,0,0,3,0.9,MIXED_3+_UNCONFIRMED,0.45,4,2,2,0.333,0.91,95
128,3,0,0,3,0.9,MIXED_3+_UNCONFIRMED,0.45,4,1,2,0.333,0.91,95
129,3,0,0,3,0.9,MIXED_3+_UNCONFIRMED,0.45,4,1,2,0.333,0.91,95
130,3,0,0,3,0.9,MIXED_3+_UNCONFIRMED,0.45,4,1,2,0.333,0.91,95
131,3,0,0,3,0.9,MIXED_3+_UNCONFIRMED,0.45,4,1,2,0.333,0.91,95
132,3,0,0,3,0.9,MIXED_3+_UNCONFIRMED,0.45,4,1,2,0.333,0.91,95
133,3,0,0,3,0.9,MIXED_3+_UNCONFIRMED,0.45,4,1,2,0.333,0.91,95
134,2,0,0,2,0.899,TWO_BALL,0.899,4,1,0,0.0,0.0,95
135,2,0,0,2,0.899,TWO_BALL,0.899,4,1,0,0.0,0.0,95
136,2,0,0,2,0.899,TWO_BALL,0.899,4,1,0,0.0,0.0,95
137,2,0,0,2,0.899,TWO_BALL,0.899,4,1,0,0.0,0.0,95
138,3,0,0,3,0.933,MIXED_3+_UNCONFIRMED,0.467,4,1,2,0.333,0.91,95
139,3,0,0,3,0.933,MIXED_3+_UNCONFIRMED,0.467,4,1,2,0.333,0.91,95
140,3,0,0,3,0.933,MIXED_3+_UNCONFIRMED,0.467,4,1,2,0.333,0.91,95
141,3,0,0,3,0.933,MIXED_3+_UNCONFIRMED,0.467,4,1,2,0.333,0.91,95
142,3,0,0,3,0.933,MIXED_3+_UNCONFIRMED,0.467,4,1,2,0.333,0.91,95
143,3,0,0,3,0.933,MIXED_3+_UNCONFIRMED,0.467,4,1,2,0.333,0.91,95
144,3,0,0,3,0.933,MIXED_3+_UNCONFIRMED,0.467,4,1,2,0.333,0.91,95
145,3,0,0,3,0.933,MIXED_3+_UNCONFIRMED,0.467,4,1,2,0.333,0.91,95
146,3,0,0,3,0.933,MIXED_3+_UNCONFIRMED,0.467,4,1,2,0.333,0.91,95
147,3,0,0,3,0.933,MIXED_3+_UNCONFIRMED,0.467,4,1,2,0.333,0.91,95
148,3,0,0,3,0.933,MIXED_3+_UNCONFIRMED,0.467,4,1,2,0.333,0.91,95
149,3,0,0,3,0.933,MIXED_3+_UNCONFIRMED,0.467,4,1,2,0.333,0.91,95
150,1,0,0,1,0.836,SINGLE_BALL,0.836,4,1,0,0.0,0.0,95
151,1,0,0,1,0.836,SINGLE_BALL,0.836,4,1,0,0.0,0.0,95
152,1,0,0,1,0.836,SINGLE_BALL,0.836,4,1,0,0.0,0.0,95
153,1,0,0,1,0.836,SINGLE_BALL,0.836,4,1,0,0.0,0.0,95
154,1,0,0,1,0.836,SINGLE_BALL,0.836,4,1,0,0.0,0.0,95
155,1,0,0,1,0.836,SINGLE_BALL,0.836,4,1,0,0.0,0.0,95
156,1,0,0,1,0.836,SINGLE_BALL,0.836,4,1,0,0.0,0.0,95
157,2,0,0,2,0.886,TWO_BALL,0.886,4,0,0,0.0,0.0,95
158,2,0,0,2,0.886,TWO_BALL,0.886,4,0,0,0.0,0.0,95
159,2,0,0,2,0.886,TWO_BALL,0.886,4,0,0,0.0,0.0,95
160,2,0,0,2,0.886,TWO_BALL,0.886,4,0,0,0.0,0.0,95
161,1,0,0,1,0.937,SINGLE_BALL,0.937,4,0,0,0.0,0.0,95
162,1,0,0,1,0.937,SINGLE_BALL,0.937,4,0,0,0.0,0.0,95
163,1,0,0,1,0.937,SINGLE_BALL,0.937,4,0,0,0.0,0.0,95
164,1,0,0,1,0.937,SINGLE_BALL,0.937,4,0,0,0.0,0.0,95
165,2,0,0,2,0.72,TWO_BALL,0.72,4,0,0,0.0,0.0,95
166,3,0,0,3,0.804,MIXED_3+_UNCONFIRMED,0.402,4,0,2,0.333,0.91,95
167,2,0,0,2,0.738,TWO_BALL,0.738,4,0,0,0.0,0.0,95
168,2,0,0,2,0.738,TWO_BALL,0.738,4,0,0,0.0,0.0,95
169,2,0,0,2,0.738,TWO_BALL,0.738,4,0,0,0.0,0.0,95
170,2,0,0,2,0.738,TWO_BALL,0.738,4,0,0,0.0,0.0,95
171,2,0,0,2,0.738,TWO_BALL,0.738,4,0,0,0.0,0.0,95
172,2,0,0,2,0.738,TWO_BALL,0.738,4,0,0,0.0,0.0,95
173,2,0,0,2,0.738,TWO_BALL,0.738,4,0,0,0.0,0.0,95
174,3,0,0,3,0.643,MIXED_3+_UNCONFIRMED,0.322,4,0,2,0.333,0.91,95
