frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_recent_events
2,5,0,0,5,0.517,CASCADE_3+,0.517,0
3,5,0,0,5,0.517,CASCADE_3+,0.517,0
4,5,0,0,5,0.517,CASCADE_3+,0.517,0
5,5,0,0,5,0.517,CASCADE_3+,0.517,0
6,5,0,0,5,0.517,CASCADE_3+,0.517,0
7,5,0,0,5,0.517,CASCADE_3+,0.517,0
8,5,0,0,5,0.517,CASCADE_3+,0.517,0
9,5,0,0,5,0.517,CASCADE_3+,0.517,0
10,5,0,0,5,0.517,CASCADE_3+,0.517,0
11,5,0,0,5,0.517,CASCADE_3+,0.517,0
12,5,0,0,5,0.517,CASCADE_3+,0.517,0
13,5,0,0,5,0.517,CASCADE_3+,0.517,0
14,5,0,0,5,0.517,CASCADE_3+,0.517,0
15,5,0,0,5,0.517,CASCADE_3+,0.517,0
16,5,0,0,5,0.517,CASCADE_3+,0.517,0
17,5,0,0,5,0.517,CASCADE_3+,0.517,0
18,5,0,0,5,0.517,CASCADE_3+,0.517,0
19,5,0,0,5,0.517,CASCADE_3+,0.517,0
20,5,0,0,5,0.517,CASCADE_3+,0.517,0
21,5,0,0,5,0.517,CASCADE_3+,0.517,0
22,5,0,0,5,0.517,CASCADE_3+,0.517,0
23,4,0,0,4,0.519,CASCADE_3+,0.519,0
24,4,0,0,4,0.519,CASCADE_3+,0.519,0
25,4,0,0,4,0.519,CASCADE_3+,0.519,0
26,4,0,0,4,0.519,CASCADE_3+,0.519,0
27,4,0,0,4,0.519,CASCADE_3+,0.519,0
28,4,0,0,4,0.519,CASCADE_3+,0.519,0
29,4,0,0,4,0.519,CASCADE_3+,0.519,0
30,4,0,0,4,0.519,CASCADE_3+,0.519,0
31,4,0,0,4,0.519,CASCADE_3+,0.519,0
32,4,0,0,4,0.519,CASCADE_3+,0.519,0
33,4,0,0,4,0.519,CASCADE_3+,0.519,0
34,5,0,0,5,0.517,CASCADE_3+,0.517,0
35,5,0,0,5,0.517,CASCADE_3+,0.517,0
36,5,0,0,5,0.517,CASCADE_3+,0.517,0
37,5,0,0,5,0.517,CASCADE_3+,0.517,0
38,5,0,0,5,0.517,CASCADE_3+,0.517,0
39,5,0,0,5,0.517,CASCADE_3+,0.517,0
40,5,0,0,5,0.517,CASCADE_3+,0.517,0
41,5,0,0,5,0.517,CASCADE_3+,0.517,0
42,5,0,0,5,0.517,CASCADE_3+,0.517,0
43,5,0,0,5,0.517,CASCADE_3+,0.517,0
44,5,0,0,5,0.517,CASCADE_3+,0.517,0
45,5,0,0,5,0.517,CASCADE_3+,0.517,0
46,5,0,0,5,0.517,CASCADE_3+,0.517,0
47,5,0,0,5,0.517,CASCADE_3+,0.517,0
48,5,0,0,5,0.517,CASCADE_3+,0.517,0
49,5,0,0,5,0.517,CASCADE_3+,0.517,0
50,5,0,0,5,0.517,CASCADE_3+,0.517,0
51,5,0,0,5,0.517,CASCADE_3+,0.517,0
52,5,0,0,5,0.517,CASCADE_3+,0.517,0
53,5,0,0,5,0.517,CASCADE_3+,0.517,0
54,5,0,0,5,0.517,CASCADE_3+,0.517,0
55,5,0,0,5,0.517,CASCADE_3+,0.517,0
56,5,0,0,5,0.517,CASCADE_3+,0.517,0
57,5,0,0,5,0.517,CASCADE_3+,0.517,0
58,6,0,0,6,0.502,CASCADE_3+,0.502,0
59,6,0,0,6,0.502,CASCADE_3+,0.502,0
60,6,0,0,6,0.502,CASCADE_3+,0.502,0
61,6,0,0,6,0.502,CASCADE_3+,0.502,0
62,6,0,0,6,0.502,CASCADE_3+,0.502,0
63,5,0,0,5,0.517,CASCADE_3+,0.517,0
64,5,0,0,5,0.517,CASCADE_3+,0.517,0
65,5,0,0,5,0.517,CASCADE_3+,0.517,0
66,5,0,0,5,0.517,CASCADE_3+,0.517,0
67,5,0,0,5,0.517,CASCADE_3+,0.517,0
68,5,0,0,5,0.517,CASCADE_3+,0.517,0
69,5,0,0,5,0.517,CASCADE_3+,0.517,0
70,5,0,0,5,0.517,CASCADE_3+,0.517,0
71,5,0,0,5,0.517,CASCADE_3+,0.517,0
72,5,0,0,5,0.517,CASCADE_3+,0.517,0
73,4,0,0,4,0.506,CASCADE_3+,0.506,0
74,4,0,0,4,0.506,CASCADE_3+,0.506,0
75,4,0,0,4,0.506,CASCADE_3+,0.506,0
