start_frame,end_frame,pattern,n_frames,avg_confidence
2,2,TWO_BALL,1,0.429
3,17,MIXED_3+_UNCONFIRMED,15,0.296
18,20,SINGLE_BALL,3,0.921
21,22,MIXED_3+_UNCONFIRMED,2,0.317
23,26,TWO_BALL,4,0.675
27,31,MIXED_3+_UNCONFIRMED,5,0.317
32,33,TWO_BALL,2,0.489
34,38,SINGLE_BALL,5,0.549
39,42,TWO_BALL,4,0.489
43,46,MIXED_3+_UNCONFIRMED,4,0.234
47,50,TWO_BALL,4,0.489
51,56,MIXED_3+_UNCONFIRMED,6,0.317
57,63,TWO_BALL,7,0.735
64,79,MIXED_3+_UNCONFIRMED,16,0.317
80,86,TWO_BALL,7,0.735
87,97,MIXED_3+_UNCONFIRMED,11,0.387
98,98,TWO_BALL,1,0.735
99,103,SINGLE_BALL,5,0.549
104,110,MIXED_3+_UNCONFIRMED,7,0.234
111,122,MIXED_3+,12,0.469
123,125,TWO_BALL,3,0.429
126,133,MIXED_3+,8,0.569
134,137,TWO_BALL,4,0.639
138,149,MIXED_3+,12,0.569
150,156,SINGLE_BALL,7,0.849
157,160,TWO_BALL,4,0.639
161,164,SINGLE_BALL,4,0.429
165,165,TWO_BALL,1,0.363
166,166,MIXED_3+,1,0.385
167,173,TWO_BALL,7,0.363
174,195,MIXED_3+,22,0.4
196,201,TWO_BALL,6,0.363
202,206,MIXED_3+,5,0.4
207,207,TWO_BALL,1,0.385
208,208,SINGLE_BALL,1,0.473
209,211,NO_BALL,3,1.0
212,213,SINGLE_BALL,2,0.488
214,219,NO_BALL,6,1.0
220,231,SINGLE_BALL,12,0.488
232,235,MIXED_3+,4,0.405
236,242,TWO_BALL,7,0.458
243,252,MIXED_3+,10,0.405
253,255,TWO_BALL,3,0.363
256,256,SINGLE_BALL,1,0.429
257,262,TWO_BALL,6,0.429
263,312,MIXED_3+,50,0.385
313,328,TWO_BALL,16,0.429
329,332,SINGLE_BALL,4,0.429
333,334,TWO_BALL,2,0.678
335,382,SINGLE_BALL,48,0.926
383,390,NO_BALL,8,1.0
391,398,SINGLE_BALL,8,0.926
399,410,TWO_BALL,12,0.925
411,450,MIXED_3+,40,0.925
451,470,TWO_BALL,20,0.945
471,472,MIXED_3+,2,0.938
473,506,SINGLE_BALL,34,0.966
507,522,TWO_BALL,16,0.901
523,532,NO_BALL,10,1.0
533,534,MIXED_3+,2,0.848
535,544,SINGLE_BALL,10,0.966
545,548,TWO_BALL,4,0.854
549,578,MIXED_3+,30,0.848
579,582,TWO_BALL,4,0.789
583,590,SINGLE_BALL,8,0.742
591,592,TWO_BALL,2,0.789
593,598,MIXED_3+,6,0.669
599,608,TWO_BALL,10,0.789
609,620,SINGLE_BALL,12,0.742
621,630,TWO_BALL,10,0.626
631,670,MIXED_3+,40,0.669
671,676,TWO_BALL,6,0.585
677,678,SINGLE_BALL,2,0.429
679,684,TWO_BALL,6,0.633
685,716,MIXED_3+,32,0.649
717,732,TWO_BALL,16,0.585
733,766,MIXED_3+,34,0.637
767,774,TWO_BALL,8,0.589
775,780,MIXED_3+,6,0.544
781,790,SINGLE_BALL,10,0.75
791,796,TWO_BALL,6,0.618
797,805,MIXED_3+,9,0.563
806,810,TWO_BALL,5,0.47
811,811,MIXED_3+,1,0.563
812,813,TWO_BALL,2,0.47
814,829,MIXED_3+,16,0.456
830,830,TWO_BALL_ONE_HAND,1,0.47
831,838,SINGLE_BALL,8,0.487
839,839,TWO_BALL_ONE_HAND,1,0.458
840,854,SINGLE_BALL,15,0.429
855,855,TWO_BALL,1,0.429
856,856,FOUNTAIN_3+,1,0.437
857,859,TWO_BALL,3,0.441
860,872,FOUNTAIN_3+,13,0.456
873,880,TWO_BALL,8,0.458
881,882,SINGLE_BALL,2,0.487
883,884,TWO_BALL,2,0.458
885,885,FOUNTAIN_3+,1,0.62
886,889,TWO_BALL,4,0.715
890,936,FOUNTAIN_3+,47,0.628
937,943,TWO_BALL,7,0.699
944,945,FOUNTAIN_3+,2,0.628
946,948,TWO_BALL,3,0.715
949,955,SINGLE_BALL,7,0.487
956,956,TWO_BALL,1,0.458
957,964,FOUNTAIN_3+,8,0.62
965,965,TWO_BALL,1,0.686
966,967,SINGLE_BALL,2,0.429
968,969,TWO_BALL,2,0.391
970,970,FOUNTAIN_3+,1,0.423
971,976,TWO_BALL,6,0.42
977,1011,FOUNTAIN_3+,35,0.423
1012,1014,TWO_BALL,3,0.42
1015,1015,TWO_BALL_ONE_HAND,1,0.42
1016,1020,SINGLE_BALL,5,0.353
1021,1028,NO_BALL,8,1.0
1029,1050,FOUNTAIN_3+,22,0.501
1051,1053,SINGLE_BALL,3,0.487
1054,1054,TWO_BALL_ONE_HAND,1,0.575
1055,1055,TWO_BALL,1,0.575
1056,1060,FOUNTAIN_3+,5,0.501
1061,1069,TWO_BALL,9,0.42
1070,1074,FOUNTAIN_3+,5,0.423
1075,1076,TWO_BALL,2,0.391
1077,1077,FOUNTAIN_3+,1,0.403
1078,1078,SINGLE_BALL,1,0.353
