start_frame,end_frame,pattern,n_frames,avg_confidence
2,2,TWO_BALL,1,0.465
3,17,FOUNTAIN_3+,15,0.7
18,20,SINGLE_BALL,3,0.711
21,22,FOUNTAIN_3+,2,0.7
23,26,TWO_BALL,4,0.588
27,31,FOUNTAIN_3+,5,0.7
32,33,TWO_BALL,2,0.494
34,38,SINGLE_BALL,5,0.524
39,42,TWO_BALL,4,0.494
43,46,CASCADE_3+,4,0.7
47,50,TWO_BALL,4,0.494
51,56,CASCADE_3+,6,0.7
57,63,TWO_BALL,7,0.617
64,71,CASCADE_3+,8,0.7
72,79,FOUNTAIN_3+,8,0.7
80,86,TWO_BALL,7,0.617
87,97,CASCADE_3+,11,0.7
98,98,TWO_BALL,1,0.617
99,103,SINGLE_BALL,5,0.524
104,117,FOUNTAIN_3+,14,0.7
118,122,CASCADE_3+,5,0.7
123,125,TWO_BALL,3,0.465
126,133,CASCADE_3+,8,0.7
134,137,TWO_BALL,4,0.57
138,149,CASCADE_3+,12,0.7
150,156,SINGLE_BALL,7,0.674
157,160,TWO_BALL,4,0.57
161,164,SINGLE_BALL,4,0.465
165,165,TWO_BALL,1,0.431
166,166,FOUNTAIN_3+,1,0.7
167,173,TWO_BALL,7,0.431
174,192,FOUNTAIN_3+,19,0.7
193,195,CASCADE_3+,3,0.7
196,201,TWO_BALL,6,0.431
202,206,CASCADE_3+,5,0.7
207,207,TWO_BALL,1,0.443
208,208,SINGLE_BALL,1,0.486
209,211,NO_BALL,3,1.0
212,213,SINGLE_BALL,2,0.494
214,219,NO_BALL,6,1.0
220,231,SINGLE_BALL,12,0.494
232,235,FOUNTAIN_3+,4,0.7
236,242,TWO_BALL,7,0.479
243,246,CASCADE_3+,4,0.7
247,252,FOUNTAIN_3+,6,0.7
253,255,TWO_BALL,3,0.431
256,256,SINGLE_BALL,1,0.465
257,262,TWO_BALL,6,0.465
263,312,FOUNTAIN_3+,50,0.7
313,328,TWO_BALL,16,0.465
329,332,SINGLE_BALL,4,0.465
333,334,TWO_BALL,2,0.589
335,382,SINGLE_BALL,48,0.713
383,390,NO_BALL,8,1.0
391,398,SINGLE_BALL,8,0.713
399,410,TWO_BALL,12,0.713
411,450,MIXED_3+,40,0.925
451,470,TWO_BALL,20,0.722
471,472,MIXED_3+,2,0.938
473,506,SINGLE_BALL,34,0.733
507,522,TWO_BALL,16,0.701
523,532,NO_BALL,10,1.0
533,534,MIXED_3+,2,0.848
535,544,SINGLE_BALL,10,0.733
545,548,TWO_BALL,4,0.677
549,549,MIXED_3+,1,0.848
550,578,FOUNTAIN_3+,29,0.848
579,582,TWO_BALL,4,0.645
583,590,SINGLE_BALL,8,0.621
591,592,TWO_BALL,2,0.645
593,594,FOUNTAIN_3+,2,0.7
595,598,MIXED_3+,4,0.669
599,608,TWO_BALL,10,0.645
609,620,SINGLE_BALL,12,0.621
621,630,TWO_BALL,10,0.563
631,670,MIXED_3+,40,0.669
