start_frame,end_frame,pattern,n_frames,avg_confidence
2,71,MIXED_3+_UNCONFIRMED,70,0.333
72,82,CASCADE_3+,11,0.679
83,101,MIXED_3+,19,0.667
102,113,CASCADE_3+,12,0.688
114,255,MIXED_3+,142,0.705
256,266,CASCADE_3+,11,0.681
267,298,MIXED_3+,32,0.679
299,307,CASCADE_3+,9,0.693
308,338,MIXED_3+,31,0.642
339,374,FOUNTAIN_3+,36,0.646
375,410,MIXED_3+,36,0.647
411,419,CASCADE_3+,9,0.639
420,481,MIXED_3+,62,0.651
482,594,FOUNTAIN_3+,113,0.653
595,643,MIXED_3+,49,0.65
644,655,CASCADE_3+,12,0.663
656,692,MIXED_3+,37,0.648
693,700,CASCADE_3+,8,0.623
701,708,MIXED_3+,8,0.632
709,714,CASCADE_3+,6,0.622
715,716,MIXED_3+,2,0.632
717,730,CASCADE_3+,14,0.636
731,737,MIXED_3+,7,0.632
738,742,CASCADE_3+,5,0.654
743,748,MIXED_3+,6,0.632
749,754,CASCADE_3+,6,0.623
755,760,MIXED_3+,6,0.632
761,768,CASCADE_3+,8,0.623
769,799,MIXED_3+,31,0.633
800,861,FOUNTAIN_3+,62,0.629
862,899,MIXED_3+,38,0.666
