frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total_balls,balls_in_hand,balls_in_air,avg_chain_quality
2,2,0,0,2,,c0|c1,0.429
3,3,0,0,3,,c0|c1|c2,0.593
4,3,0,0,3,,c0|c1|c2,0.593
5,3,0,0,3,,c0|c1|c2,0.593
6,3,0,0,3,,c0|c1|c2,0.593
7,3,0,0,3,,c0|c1|c2,0.593
8,3,0,0,3,,c0|c1|c2,0.593
9,3,0,0,3,,c0|c1|c2,0.593
10,3,0,0,3,,c0|c1|c2,0.593
11,3,0,0,3,,c0|c1|c2,0.593
12,3,0,0,3,,c0|c1|c2,0.593
13,3,0,0,3,,c0|c1|c2,0.593
14,3,0,0,3,,c0|c1|c2,0.593
15,3,0,0,3,,c0|c1|c2,0.593
16,3,0,0,3,,c0|c1|c2,0.593
17,3,0,0,3,,c0|c1|c2,0.593
18,1,0,0,1,,c2,0.921
19,1,0,0,1,,c2,0.921
20,1,0,0,1,,c2,0.921
21,3,0,0,3,,c2|c3|c4,0.633
22,3,0,0,3,,c2|c3|c4,0.633
23,2,0,0,2,,c2|c3,0.675
24,2,0,0,2,,c2|c3,0.675
25,2,0,0,2,,c2|c3,0.675
26,2,0,0,2,,c2|c3,0.675
27,3,0,0,3,,c2|c3|c4,0.633
28,3,0,0,3,,c2|c3|c4,0.633
29,3,0,0,3,,c2|c3|c4,0.633
30,3,0,0,3,,c2|c3|c4,0.633
31,2,1,0,3,c2,c3|c4,0.633
32,2,0,0,2,,c3|c4,0.489
33,2,0,0,2,,c3|c4,0.489
34,1,0,0,1,,c4,0.549
35,1,0,0,1,,c4,0.549
36,1,0,0,1,,c4,0.549
37,1,0,0,1,,c4,0.549
38,1,0,0,1,,c4,0.549
39,2,0,0,2,,c4|c5,0.489
40,2,0,0,2,,c4|c5,0.489
41,2,0,0,2,,c4|c5,0.489
42,2,0,0,2,,c4|c5,0.489
43,3,0,0,3,,c4|c5|c6,0.469
44,3,0,0,3,,c4|c5|c6,0.469
45,3,0,0,3,,c4|c5|c6,0.469
46,3,0,0,3,,c4|c5|c6,0.469
47,2,0,0,2,,c4|c5,0.489
48,2,0,0,2,,c4|c5,0.489
49,2,0,0,2,,c4|c5,0.489
50,2,0,0,2,,c4|c5,0.489
51,2,1,0,3,c2,c4|c5,0.633
52,3,0,0,3,,c2|c4|c5,0.633
53,3,0,0,3,,c2|c4|c5,0.633
54,3,0,0,3,,c2|c4|c5,0.633
55,3,0,0,3,,c2|c4|c5,0.633
56,3,0,0,3,,c2|c4|c5,0.633
57,2,0,0,2,,c2|c4,0.735
58,2,0,0,2,,c2|c4,0.735
59,2,0,0,2,,c2|c4,0.735
60,2,0,0,2,,c2|c4,0.735
61,2,0,0,2,,c2|c4,0.735
62,2,0,0,2,,c2|c4,0.735
63,2,0,0,2,,c2|c4,0.735
64,3,0,0,3,,c2|c4|c7,0.633
65,3,0,0,3,,c2|c4|c7,0.633
66,3,0,0,3,,c2|c4|c7,0.633
67,3,0,0,3,,c2|c4|c7,0.633
68,3,0,0,3,,c2|c4|c7,0.633
69,3,0,0,3,,c2|c4|c7,0.633
70,3,0,0,3,,c2|c4|c7,0.633
71,3,0,0,3,,c2|c4|c7,0.633
72,3,0,0,3,,c2|c4|c7,0.633
73,3,0,0,3,,c2|c4|c7,0.633
74,3,0,0,3,,c2|c4|c7,0.633
75,3,0,0,3,,c2|c4|c7,0.633
76,3,0,0,3,,c2|c4|c7,0.633
77,3,0,0,3,,c2|c4|c7,0.633
78,3,0,0,3,,c2|c4|c7,0.633
79,3,0,0,3,,c2|c4|c7,0.633
80,2,0,0,2,,c2|c4,0.735
81,2,0,0,2,,c2|c4,0.735
82,2,0,0,2,,c2|c4,0.735
83,2,0,0,2,,c2|c4,0.735
84,2,0,0,2,,c2|c4,0.735
85,2,0,0,2,,c2|c4,0.735
86,2,0,0,2,,c2|c4,0.735
87,3,0,0,3,,c2|c4|c8,0.773
88,3,0,0,3,,c2|c4|c8,0.773
89,3,0,0,3,,c2|c4|c8,0.773
90,3,0,0,3,,c2|c4|c8,0.773
91,3,0,0,3,,c2|c4|c8,0.773
92,3,0,0,3,,c2|c4|c8,0.773
93,3,0,0,3,,c2|c4|c8,0.773
94,3,0,0,3,,c2|c4|c8,0.773
95,3,0,0,3,,c2|c4|c8,0.773
96,3,0,0,3,,c2|c4|c8,0.773
97,2,0,1,3,c8,c2|c4,0.773
98,2,0,0,2,,c2|c4,0.735
99,1,0,0,1,,c4,0.549
100,1,0,0,1,,c4,0.549
101,1,0,0,1,,c4,0.549
102,1,0,0,1,,c4,0.549
103,1,0,0,1,,c4,0.549
104,3,0,0,3,,c4|c9|c10,0.469
105,3,0,0,3,,c4|c9|c10,0.469
106,3,0,0,3,,c4|c9|c10,0.469
107,3,0,0,3,,c4|c9|c10,0.469
108,3,0,0,3,,c4|c9|c10,0.469
109,3,0,0,3,,c4|c9|c10,0.469
110,3,0,0,3,,c4|c9|c10,0.469
111,3,0,0,3,,c4|c9|c10,0.469
112,3,0,0,3,,c4|c9|c10,0.469
113,3,0,0,3,,c4|c9|c10,0.469
114,3,0,0,3,,c4|c9|c10,0.469
115,3,0,0,3,,c4|c9|c10,0.469
116,3,0,0,3,,c4|c9|c10,0.469
117,3,0,0,3,,c4|c9|c10,0.469
118,3,0,0,3,,c4|c9|c10,0.469
119,3,0,0,3,,c4|c9|c10,0.469
120,3,0,0,3,,c4|c9|c10,0.469
121,3,0,0,3,,c4|c9|c10,0.469
122,3,0,0,3,,c4|c9|c10,0.469
123,2,0,0,2,,c9|c10,0.429
