frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total_balls,balls_in_hand,balls_in_air,avg_chain_quality
2,5,0,0,5,,c0|c1|c2|c3|c4,0.517
3,5,0,0,5,,c0|c1|c2|c3|c4,0.517
4,5,0,0,5,,c0|c1|c2|c3|c4,0.517
5,5,0,0,5,,c0|c1|c2|c3|c4,0.517
6,5,0,0,5,,c0|c1|c2|c3|c4,0.517
7,5,0,0,5,,c0|c1|c2|c3|c4,0.517
8,5,0,0,5,,c0|c1|c2|c3|c4,0.517
9,5,0,0,5,,c0|c1|c2|c3|c4,0.517
10,5,0,0,5,,c0|c1|c2|c3|c4,0.517
11,5,0,0,5,,c0|c1|c2|c3|c4,0.517
12,5,0,0,5,,c0|c1|c2|c3|c4,0.517
13,5,0,0,5,,c0|c1|c2|c3|c4,0.517
14,5,0,0,5,,c0|c1|c2|c3|c4,0.517
15,5,0,0,5,,c0|c1|c2|c3|c4,0.517
16,5,0,0,5,,c0|c1|c2|c3|c4,0.517
17,5,0,0,5,,c0|c1|c2|c3|c4,0.517
18,5,0,0,5,,c0|c1|c2|c3|c4,0.517
19,5,0,0,5,,c0|c1|c2|c3|c4,0.517
20,5,0,0,5,,c0|c1|c2|c3|c4,0.517
21,5,0,0,5,,c0|c1|c2|c3|c4,0.517
22,5,0,0,5,,c0|c1|c2|c3|c4,0.517
23,4,0,0,4,,c0|c1|c3|c4,0.519
24,4,0,0,4,,c0|c1|c3|c4,0.519
25,4,0,0,4,,c0|c1|c3|c4,0.519
26,4,0,0,4,,c0|c1|c3|c4,0.519
27,4,0,0,4,,c0|c1|c3|c4,0.519
28,4,0,0,4,,c0|c1|c3|c4,0.519
29,4,0,0,4,,c0|c1|c3|c4,0.519
30,4,0,0,4,,c0|c1|c3|c4,0.519
31,4,0,0,4,,c0|c1|c3|c4,0.519
32,4,0,0,4,,c0|c1|c3|c4,0.519
33,4,0,0,4,,c0|c1|c3|c4,0.519
34,5,0,0,5,,c0|c1|c2|c3|c4,0.517
35,5,0,0,5,,c0|c1|c2|c3|c4,0.517
36,5,0,0,5,,c0|c1|c2|c3|c4,0.517
37,5,0,0,5,,c0|c1|c2|c3|c4,0.517
38,5,0,0,5,,c0|c1|c2|c3|c4,0.517
39,5,0,0,5,,c0|c1|c2|c3|c4,0.517
40,5,0,0,5,,c0|c1|c2|c3|c4,0.517
41,5,0,0,5,,c0|c1|c2|c3|c4,0.517
42,5,0,0,5,,c0|c1|c2|c3|c4,0.517
43,5,0,0,5,,c0|c1|c2|c3|c4,0.517
44,5,0,0,5,,c0|c1|c2|c3|c4,0.517
45,5,0,0,5,,c0|c1|c2|c3|c4,0.517
