video,stem,tid,first_frame,last_frame,n_pts,first_x,first_y,last_x,last_y,end_side,end_dist,end_slope,end_samples,end_pose_conf,start_side,start_dist,start_slope,start_samples,start_pose_conf
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1,2,17,16,553.16,347.08,559.27,646.63,right,77.85,3.351,5,0.324,right,147.15,-24.085,5,0.324
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,2,2,17,13,611.92,440.95,882.13,539.09,left,91.93,1.367,5,0.707,right,97.69,-20.051,5,0.707
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,3,3,31,28,713.17,366.47,696.95,376.79,left,106.16,-23.593,5,0.184,left,116.21,24.201,5,0.184
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,4,21,33,12,835.06,499.38,477.9,422.75,right,55.99,-11.963,5,0.197,left,48.05,-0.364,5,0.197
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,5,21,22,2,565.83,564.35,565.53,539.28,,,,2,,,,,2,
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,6,27,122,91,558.72,398.13,582.32,574.92,right,47.25,-4.299,5,0.203,right,96.15,21.405,5,0.203
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,7,39,56,18,397.72,458.07,734.99,425.14,left,50.14,-15.984,5,0.329,right,66.22,2.155,5,0.329
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,8,43,46,4,725.95,601.94,736.11,573.44,left,50.3,-7.109,4,0.305,left,71.47,-7.109,4,0.305
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,9,51,98,44,730.88,446.01,724.02,511.52,left,13.75,-12.895,5,0.335,left,31.19,24.337,5,0.335
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,10,64,79,16,864.11,512.87,595.93,446.6,right,87.39,16.024,5,0.6,left,71.95,3.336,5,0.6
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,11,87,97,11,442.27,472.1,437.86,478.53,right,48.43,-4.97,5,0.687,right,29.53,9.281,5,0.687
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,12,104,149,42,731.11,349.92,784.27,560.34,left,34.62,-8.075,5,0.385,left,119.4,19.557,5,0.385
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,13,104,133,24,631.98,423.23,552.31,436.33,right,45.03,-10.308,5,0.335,left,121.59,-7.984,5,0.335
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,14,126,160,32,577.04,447.59,508.33,447.41,right,52.69,-16.652,5,0.274,right,51.55,21.752,5,0.274
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,15,138,149,12,525.7,491.18,582.57,560.96,right,38.27,-6.45,5,0.537,right,15.21,3.787,5,0.537
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,16,157,166,8,584.99,303.46,586.64,121.0,right,303.39,16.254,5,0.606,right,131.07,21.231,5,0.606
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,17,165,207,36,581.66,364.7,609.49,525.47,right,20.95,-3.951,5,0.621,right,60.22,-2.836,5,0.621
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,18,166,206,38,586.58,135.61,740.9,559.9,left,32.77,-6.107,5,0.388,right,288.8,3.666,5,0.388
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,19,174,195,20,459.77,537.97,464.31,63.93,left,497.19,19.629,5,0.18,left,68.92,-3.171,5,0.18
