chain_id,tid,ball_id,identity_ambiguous,hand_event,hand,first_frame,last_frame,n_pts,chain_quality,chain_classification
0,1,chain0_ball0,False,CHAIN_START,,2,17,16,1.0,CONFIDENT
1,2,chain1_ball0,False,CHAIN_START,,2,17,13,0.9238,CONFIDENT
2,3,chain2_ball0,False,CHAIN_START,,3,31,28,0.5977,UNCERTAIN
2,8,chain2_ball0,False,CATCH_AND_THROW,left,43,46,4,0.5977,UNCERTAIN
3,4,chain3_ball0,False,CHAIN_START,,21,33,12,1.0,CONFIDENT
4,5,chain4_ball0,False,CHAIN_START,,21,22,2,0.6683,UNCERTAIN
4,6,chain4_ball0,False,CATCH_AND_THROW,right,27,122,91,0.6683,UNCERTAIN
5,7,chain5_ball0,False,CHAIN_START,,39,56,18,0.64,UNCERTAIN
5,10,chain5_ball0,False,CATCH_AND_THROW,unknown,64,79,16,0.64,UNCERTAIN
6,9,chain6_ball0,False,CHAIN_START,,51,98,44,0.9635,CONFIDENT
7,11,chain7_ball0,False,CHAIN_START,,87,97,11,0.8356,CONFIDENT
7,14,chain7_ball0,True,CATCH_AND_THROW,right,126,160,32,0.8356,CONFIDENT
8,12,chain8_ball0,False,CHAIN_START,,104,149,42,0.9619,CONFIDENT
9,13,chain9_ball0,False,CHAIN_START,,104,133,24,0.9015,CONFIDENT
10,15,chain10_ball0,False,CHAIN_START,,138,149,12,1.0,CONFIDENT
11,16,chain11_ball0,False,CHAIN_START,,157,166,8,0.9365,CONFIDENT
12,17,chain12_ball0,False,CHAIN_START,,165,207,36,0.5044,UNCERTAIN
12,23,chain12_ball0,False,CATCH_AND_THROW,right,232,235,4,0.5044,UNCERTAIN
12,25,chain12_ball0,False,CATCH_AND_THROW,right,243,255,6,0.5044,UNCERTAIN
13,18,chain13_ball0,False,CHAIN_START,,166,206,38,0.9714,CONFIDENT
14,19,chain14_ball0,False,CHAIN_START,,174,195,20,0.4538,UNCERTAIN
14,20,chain14_ball0,False,BALLISTIC_CONTINUATION,unknown,202,208,7,0.4538,UNCERTAIN
15,21,chain15_ball0,False,CHAIN_START,,212,213,2,0.316,LOW
15,22,chain15_ball0,False,BALLISTIC_CONTINUATION,unknown,220,252,32,0.316,LOW
15,27,chain15_ball0,False,CATCH_AND_THROW,left,263,312,45,0.316,LOW
16,24,chain16_ball0,False,CHAIN_START,,232,328,89,0.9583,CONFIDENT
17,26,chain17_ball0,False,CHAIN_START,,257,334,65,0.9109,CONFIDENT
18,28,chain18_ball0,False,CHAIN_START,,333,382,40,0.6022,UNCERTAIN
18,29,chain18_ball0,False,BALLISTIC_CONTINUATION,unknown,391,460,63,0.6022,UNCERTAIN
18,34,chain18_ball0,False,CATCH_AND_THROW,left,471,472,2,0.6022,UNCERTAIN
19,30,chain19_ball0,False,CHAIN_START,,399,450,48,0.8669,CONFIDENT
19,33,chain19_ball0,False,CATCH_AND_THROW,left,461,472,8,0.8669,CONFIDENT
20,31,chain20_ball0,False,CHAIN_START,,411,522,100,0.9076,CONFIDENT
20,36,chain20_ball0,False,BALLISTIC_CONTINUATION,unknown,533,578,40,0.9076,CONFIDENT
21,32,chain21_ball0,False,CHAIN_START,,425,428,4,1.0,CONFIDENT
22,35,chain22_ball0,False,CHAIN_START,,507,522,14,0.5584,UNCERTAIN
22,37,chain22_ball0,False,CATCH_AND_THROW,left,533,534,2,0.5584,UNCERTAIN
22,40,chain22_ball0,False,CATCH_AND_THROW,left,549,582,33,0.5584,UNCERTAIN
22,41,chain22_ball0,False,CATCH_AND_THROW,right,591,608,14,0.5584,UNCERTAIN
22,43,chain22_ball0,False,BALLISTIC_CONTINUATION,unknown,621,622,2,0.5584,UNCERTAIN
22,45,chain22_ball0,False,CATCH_AND_THROW,right,631,670,40,0.5584,UNCERTAIN
22,46,chain22_ball0,False,CATCH_AND_THROW,left,679,716,30,0.5584,UNCERTAIN
23,38,chain23_ball0,False,CHAIN_START,,533,534,2,0.6451,UNCERTAIN
23,39,chain23_ball0,False,CATCH_AND_THROW,right,545,676,127,0.6451,UNCERTAIN
23,47,chain23_ball0,False,CATCH_AND_THROW,left,685,766,72,0.6451,UNCERTAIN
24,42,chain24_ball0,False,CHAIN_START,,593,598,4,0.8857,CONFIDENT
25,44,chain25_ball0,False,CHAIN_START,,623,780,140,0.9381,CONFIDENT
26,48,chain26_ball0,False,CHAIN_START,,691,700,10,1.0,CONFIDENT
27,49,chain27_ball0,False,CHAIN_START,,697,697,1,1.0,CONFIDENT
28,50,chain28_ball0,False,CHAIN_START,,733,805,61,0.6685,UNCERTAIN
28,55,chain28_ball0,False,BALLISTIC_CONTINUATION,unknown,811,811,1,0.6685,UNCERTAIN
29,51,chain29_ball0,False,CHAIN_START,,765,766,2,0.5767,UNCERTAIN
29,52,chain29_ball0,False,CATCH_AND_THROW,left,775,780,6,0.5767,UNCERTAIN
29,54,chain29_ball0,False,CATCH_AND_THROW,right,797,830,31,0.5767,UNCERTAIN
29,59,chain29_ball0,True,CATCH_AND_THROW,right,856,872,11,0.5767,UNCERTAIN
29,61,chain29_ball0,False,CATCH_AND_THROW,unknown,883,885,3,0.5767,UNCERTAIN
30,53,chain30_ball0,False,CHAIN_START,,791,839,47,0.4053,UNCERTAIN
30,60,chain30_ball0,False,CATCH_AND_THROW,right,860,936,71,0.4053,UNCERTAIN
30,64,chain30_ball0,False,BALLISTIC_CONTINUATION,unknown,944,964,18,0.4053,UNCERTAIN
30,68,chain30_ball0,False,CATCH_AND_THROW,right,970,1015,37,0.4053,UNCERTAIN
30,71,chain30_ball0,False,CATCH_AND_THROW,right,1029,1074,43,0.4053,UNCERTAIN
31,56,chain31_ball0,False,CHAIN_START,,814,829,15,1.0,CONFIDENT
32,57,chain32_ball0,False,CHAIN_START,,839,880,37,0.9443,CONFIDENT
33,58,chain33_ball0,False,CHAIN_START,,855,856,2,1.0,CONFIDENT
34,62,chain34_ball0,False,CHAIN_START,,885,948,50,0.58,UNCERTAIN
34,66,chain34_ball0,False,CATCH_AND_THROW,right,957,965,6,0.58,UNCERTAIN
35,63,chain35_ball0,False,CHAIN_START,,890,945,52,0.9688,CONFIDENT
36,65,chain36_ball0,False,CHAIN_START,,956,970,14,1.0,CONFIDENT
