chain_id,tid,ball_id,identity_ambiguous,hand_event,hand,first_frame,last_frame,n_pts,chain_quality,chain_classification
0,1,chain0_ball0,False,CHAIN_START,,2,102,96,0.6827,UNCERTAIN
0,9,chain0_ball0,False,CATCH_AND_THROW,left,114,256,132,0.6827,UNCERTAIN
0,13,chain0_ball0,False,CATCH_AND_THROW,left,267,327,56,0.6827,UNCERTAIN
0,16,chain0_ball0,False,CATCH_AND_THROW,right,339,468,126,0.6827,UNCERTAIN
1,2,chain1_ball0,False,CHAIN_START,,2,72,62,0.5889,UNCERTAIN
1,8,chain1_ball0,False,CATCH_AND_THROW,right,83,426,311,0.5889,UNCERTAIN
2,3,chain2_ball0,False,CHAIN_START,,2,22,21,0.5776,UNCERTAIN
2,6,chain2_ball0,False,CATCH_AND_THROW,left,34,97,59,0.5776,UNCERTAIN
3,4,chain3_ball0,False,CHAIN_START,,2,411,358,0.68,UNCERTAIN
3,18,chain3_ball0,False,CATCH_AND_THROW,right,420,709,260,0.68,UNCERTAIN
3,30,chain3_ball0,False,CATCH_AND_THROW,right,715,845,119,0.68,UNCERTAIN
3,37,chain3_ball0,False,CATCH_AND_THROW,right,854,899,44,0.68,UNCERTAIN
4,5,chain4_ball0,False,CHAIN_START,,2,228,205,0.7962,CONFIDENT
5,7,chain5_ball0,False,CHAIN_START,,58,62,2,0.6333,UNCERTAIN
6,10,chain6_ball0,False,CHAIN_START,,117,238,116,0.8406,CONFIDENT
6,12,chain6_ball0,False,CATCH_AND_THROW,right,255,309,54,0.8406,CONFIDENT
7,11,chain7_ball0,False,CHAIN_START,,247,299,50,0.6156,UNCERTAIN
7,14,chain7_ball0,False,CATCH_AND_THROW,right,308,375,59,0.6156,UNCERTAIN
7,17,chain7_ball0,False,CATCH_AND_THROW,left,381,582,184,0.6156,UNCERTAIN
7,24,chain7_ball0,False,CATCH_AND_THROW,right,591,653,58,0.6156,UNCERTAIN
8,15,chain8_ball0,False,CHAIN_START,,329,595,247,0.6756,UNCERTAIN
8,25,chain8_ball0,False,CATCH_AND_THROW,left,606,749,122,0.6756,UNCERTAIN
8,33,chain8_ball0,False,CATCH_AND_THROW,left,755,818,55,0.6756,UNCERTAIN
8,36,chain8_ball0,False,CATCH_AND_THROW,right,825,899,64,0.6756,UNCERTAIN
9,19,chain9_ball0,False,CHAIN_START,,445,498,51,0.6145,UNCERTAIN
9,22,chain9_ball0,False,CATCH_AND_THROW,right,510,644,125,0.6145,UNCERTAIN
9,26,chain9_ball0,False,CATCH_AND_THROW,right,656,717,57,0.6145,UNCERTAIN
9,31,chain9_ball0,False,CATCH_AND_THROW,left,731,789,57,0.6145,UNCERTAIN
9,35,chain9_ball0,False,CATCH_AND_THROW,right,800,862,55,0.6145,UNCERTAIN
9,38,chain9_ball0,False,CATCH_AND_THROW,left,869,899,30,0.6145,UNCERTAIN
10,20,chain10_ball0,False,CHAIN_START,,466,470,3,0.6071,UNCERTAIN
10,21,chain10_ball0,False,CATCH_AND_THROW,unknown,482,693,191,0.6071,UNCERTAIN
10,29,chain10_ball0,False,CATCH_AND_THROW,left,701,761,48,0.6071,UNCERTAIN
10,34,chain10_ball0,False,CATCH_AND_THROW,right,769,899,120,0.6071,UNCERTAIN
11,23,chain11_ball0,False,CHAIN_START,,578,578,1,0.8333,CONFIDENT
12,27,chain12_ball0,False,CHAIN_START,,670,670,1,0.6176,UNCERTAIN
12,28,chain12_ball0,False,CATCH_AND_THROW,left,678,738,53,0.6176,UNCERTAIN
12,32,chain12_ball0,False,CATCH_AND_THROW,right,743,878,120,0.6176,UNCERTAIN
13,39,chain13_ball0,False,CHAIN_START,,878,882,3,0.7333,CONFIDENT
14,40,chain14_ball0,False,CHAIN_START,,883,899,17,0.8333,CONFIDENT
