chain_id,tid,ball_id,identity_ambiguous,hand_event,hand,h3_confirmed,first_frame,last_frame,n_pts,chain_quality,chain_classification
0,1,chain0_ball0,False,CHAIN_START,n/a,False,2,17,16,0.4286,UNCERTAIN
1,2,chain1_ball0,False,CHAIN_START,n/a,False,2,17,13,0.4286,UNCERTAIN
2,3,chain2_ball0,False,CHAIN_START,n/a,False,3,31,28,0.9208,CONFIDENT
2,9,chain2_ball0,True,CATCH_AND_THROW,left,True,51,98,44,0.9208,CONFIDENT
3,4,chain3_ball0,False,CHAIN_START,n/a,False,21,33,12,0.4286,UNCERTAIN
4,5,chain4_ball0,False,CHAIN_START,n/a,False,21,22,2,0.549,UNCERTAIN
4,6,chain4_ball0,False,,,False,27,122,91,0.549,UNCERTAIN
5,7,chain5_ball0,False,CHAIN_START,n/a,False,39,56,18,0.4286,UNCERTAIN
6,8,chain6_ball0,False,CHAIN_START,n/a,False,43,46,4,0.4286,UNCERTAIN
7,10,chain7_ball0,False,CHAIN_START,n/a,False,64,79,16,0.4286,UNCERTAIN
8,11,chain8_ball0,False,CHAIN_START,n/a,False,87,97,11,0.8486,CONFIDENT
8,14,chain8_ball0,True,CATCH_AND_THROW,right,True,126,160,32,0.8486,CONFIDENT
9,12,chain9_ball0,False,CHAIN_START,n/a,False,104,149,42,0.4286,UNCERTAIN
10,13,chain10_ball0,False,CHAIN_START,n/a,False,104,133,24,0.4286,UNCERTAIN
11,15,chain11_ball0,False,CHAIN_START,n/a,False,138,149,12,0.4286,UNCERTAIN
12,16,chain12_ball0,False,CHAIN_START,n/a,False,157,166,8,0.4286,UNCERTAIN
13,17,chain13_ball0,False,CHAIN_START,n/a,False,165,207,36,0.2973,LOW
13,23,chain13_ball0,False,CATCH_AND_THROW,right,False,232,235,4,0.2973,LOW
13,25,chain13_ball0,False,,,False,243,255,6,0.2973,LOW
13,27,chain13_ball0,False,,,False,263,312,45,0.2973,LOW
14,18,chain14_ball0,False,CHAIN_START,n/a,False,166,206,38,0.4286,UNCERTAIN
15,19,chain15_ball0,False,CHAIN_START,n/a,False,174,195,20,0.4735,UNCERTAIN
15,20,chain15_ball0,False,,,False,202,208,7,0.4735,UNCERTAIN
16,21,chain16_ball0,False,CHAIN_START,n/a,False,212,213,2,0.4878,UNCERTAIN
16,22,chain16_ball0,False,,,False,220,252,32,0.4878,UNCERTAIN
17,24,chain17_ball0,False,CHAIN_START,n/a,False,232,328,89,0.4286,UNCERTAIN
18,26,chain18_ball0,False,CHAIN_START,n/a,False,257,334,65,0.4286,UNCERTAIN
19,28,chain19_ball0,False,CHAIN_START,n/a,False,333,382,40,0.9265,CONFIDENT
19,29,chain19_ball0,False,,,False,391,460,63,0.9265,CONFIDENT
19,34,chain19_ball0,False,,,False,471,472,2,0.9265,CONFIDENT
20,30,chain20_ball0,False,CHAIN_START,n/a,False,399,450,48,0.9228,CONFIDENT
20,33,chain20_ball0,False,,,False,461,472,8,0.9228,CONFIDENT
21,31,chain21_ball0,False,CHAIN_START,n/a,False,411,522,100,0.966,CONFIDENT
21,36,chain21_ball0,False,,,False,533,578,40,0.966,CONFIDENT
22,32,chain22_ball0,False,CHAIN_START,n/a,False,425,428,4,0.4286,UNCERTAIN
23,35,chain23_ball0,False,CHAIN_START,n/a,False,507,522,14,0.8367,CONFIDENT
23,37,chain23_ball0,False,,,False,533,534,2,0.8367,CONFIDENT
23,40,chain23_ball0,False,,,False,549,582,33,0.8367,CONFIDENT
23,41,chain23_ball0,False,,,False,591,608,14,0.8367,CONFIDENT
23,43,chain23_ball0,False,,,False,621,622,2,0.8367,CONFIDENT
23,45,chain23_ball0,False,,,False,631,670,40,0.8367,CONFIDENT
23,46,chain23_ball0,False,,,False,679,716,30,0.8367,CONFIDENT
24,38,chain24_ball0,False,CHAIN_START,n/a,False,533,534,2,0.7418,CONFIDENT
24,39,chain24_ball0,False,,,False,545,676,127,0.7418,CONFIDENT
24,47,chain24_ball0,False,,,False,685,766,72,0.7418,CONFIDENT
25,42,chain25_ball0,False,CHAIN_START,n/a,False,593,598,4,0.4286,UNCERTAIN
26,44,chain26_ball0,False,CHAIN_START,n/a,False,623,780,140,0.4286,UNCERTAIN
27,48,chain27_ball0,False,CHAIN_START,n/a,False,691,700,10,0.4286,UNCERTAIN
28,49,chain28_ball0,False,CHAIN_START,n/a,False,697,697,1,0.4286,UNCERTAIN
29,50,chain29_ball0,False,CHAIN_START,n/a,False,733,805,61,0.7495,CONFIDENT
29,55,chain29_ball0,False,,,False,811,811,1,0.7495,CONFIDENT
30,51,chain30_ball0,False,CHAIN_START,n/a,False,765,766,2,0.4541,UNCERTAIN
30,52,chain30_ball0,False,,,False,775,780,6,0.4541,UNCERTAIN
30,54,chain30_ball0,False,CATCH_AND_THROW,right,False,797,830,31,0.4541,UNCERTAIN
30,59,chain30_ball0,True,CATCH_AND_THROW,right,True,856,872,11,0.4541,UNCERTAIN
30,63,chain30_ball0,True,CATCH_AND_THROW,right,True,890,945,52,0.4541,UNCERTAIN
31,53,chain31_ball0,False,CHAIN_START,n/a,False,791,839,47,0.4866,UNCERTAIN
31,60,chain31_ball0,False,CATCH_AND_THROW,right,True,860,936,71,0.4866,UNCERTAIN
31,64,chain31_ball0,False,,,False,944,964,18,0.4866,UNCERTAIN
31,68,chain31_ball0,False,,,False,970,1015,37,0.4866,UNCERTAIN
31,71,chain31_ball0,False,CATCH_AND_THROW,right,False,1029,1074,43,0.4866,UNCERTAIN
32,56,chain32_ball0,False,CHAIN_START,n/a,False,814,829,15,0.4286,UNCERTAIN
33,57,chain33_ball0,False,CHAIN_START,n/a,False,839,880,37,0.4286,UNCERTAIN
34,58,chain34_ball0,False,CHAIN_START,n/a,False,855,856,2,0.4286,UNCERTAIN
35,61,chain35_ball0,False,CHAIN_START,n/a,False,883,885,3,0.4286,UNCERTAIN
36,62,chain36_ball0,False,CHAIN_START,n/a,False,885,948,50,0.9436,CONFIDENT
36,66,chain36_ball0,False,,,False,957,965,6,0.9436,CONFIDENT
