chain_id,tid,ball_id,identity_ambiguous,hand_event,hand,tok_age,h3_confirmed,first_frame,last_frame,n_pts,chain_quality,chain_classification
0,1,chain0_ball0,False,CHAIN_START,,,False,2,17,16,1.0,CONFIDENT
1,2,chain1_ball0,False,CHAIN_START,,,False,2,17,13,0.9238095238095239,CONFIDENT
2,3,chain2_ball0,False,CHAIN_START,,,False,3,31,28,0.5976744186046512,UNCERTAIN
2,8,chain2_ball0,False,CATCH_AND_THROW,left,?,False,43,46,4,0.5976744186046512,UNCERTAIN
3,4,chain3_ball0,False,CHAIN_START,,,False,21,33,12,1.0,CONFIDENT
4,5,chain4_ball0,False,CHAIN_START,,,False,21,22,2,0.6683168316831684,UNCERTAIN
4,6,chain4_ball0,False,CATCH_AND_THROW,right,?,False,27,122,91,0.6683168316831684,UNCERTAIN
5,7,chain5_ball0,False,CHAIN_START,,,False,39,56,18,1.0,CONFIDENT
6,9,chain6_ball0,False,CHAIN_START,,,False,51,98,44,0.9635258358662614,CONFIDENT
7,10,chain7_ball0,False,CHAIN_START,,,False,64,79,16,1.0,CONFIDENT
8,11,chain8_ball0,False,CHAIN_START,,,False,87,97,11,0.8356164383561644,CONFIDENT
8,14,chain8_ball0,True,CATCH_AND_THROW,right,29,True,126,160,32,0.8356164383561644,CONFIDENT
9,12,chain9_ball0,False,CHAIN_START,,,False,104,149,42,0.9619047619047619,CONFIDENT
10,13,chain10_ball0,False,CHAIN_START,,,False,104,133,24,0.9014778325123153,CONFIDENT
11,15,chain11_ball0,False,CHAIN_START,,,False,138,149,12,1.0,CONFIDENT
12,16,chain12_ball0,False,CHAIN_START,,,False,157,166,8,0.9365079365079365,CONFIDENT
13,17,chain13_ball0,False,CHAIN_START,,,False,165,207,36,0.20444444444444443,LOW
13,23,chain13_ball0,False,CATCH_AND_THROW,right,25,False,232,235,4,0.20444444444444443,LOW
13,25,chain13_ball0,False,BALLISTIC_CONTINUATION,unknown,?,False,243,255,6,0.20444444444444443,LOW
14,18,chain14_ball0,False,CHAIN_START,,,False,166,206,38,0.9714285714285714,CONFIDENT
15,19,chain15_ball0,False,CHAIN_START,,,False,174,195,20,0.45378151260504196,UNCERTAIN
15,20,chain15_ball0,False,BALLISTIC_CONTINUATION,unknown,?,False,202,208,7,0.45378151260504196,UNCERTAIN
16,21,chain16_ball0,False,CHAIN_START,,,False,212,213,2,0.31600000000000006,LOW
16,22,chain16_ball0,False,BALLISTIC_CONTINUATION,unknown,?,False,220,252,32,0.31600000000000006,LOW
16,27,chain16_ball0,False,CATCH_AND_THROW,left,?,False,263,312,45,0.31600000000000006,LOW
17,24,chain17_ball0,False,CHAIN_START,,,False,232,328,89,0.9583333333333334,CONFIDENT
18,26,chain18_ball0,False,CHAIN_START,,,False,257,334,65,0.9109461966604824,CONFIDENT
19,28,chain19_ball0,False,CHAIN_START,,,False,333,382,40,0.6021582733812949,UNCERTAIN
19,29,chain19_ball0,False,BALLISTIC_CONTINUATION,unknown,?,False,391,460,63,0.6021582733812949,UNCERTAIN
19,34,chain19_ball0,False,CATCH_AND_THROW,left,?,False,471,472,2,0.6021582733812949,UNCERTAIN
20,30,chain20_ball0,False,CHAIN_START,,,False,399,450,48,0.8669275929549902,CONFIDENT
20,33,chain20_ball0,False,BALLISTIC_CONTINUATION,unknown,?,False,461,472,8,0.8669275929549902,CONFIDENT
21,31,chain21_ball0,False,CHAIN_START,,,False,411,522,100,0.9076133447390933,CONFIDENT
21,36,chain21_ball0,False,BALLISTIC_CONTINUATION,unknown,?,False,533,578,40,0.9076133447390933,CONFIDENT
22,32,chain22_ball0,False,CHAIN_START,,,False,425,428,4,1.0,CONFIDENT
23,35,chain23_ball0,False,CHAIN_START,,,False,507,522,14,0.5583732057416269,UNCERTAIN
23,37,chain23_ball0,False,CATCH_AND_THROW,left,?,False,533,534,2,0.5583732057416269,UNCERTAIN
23,40,chain23_ball0,False,CATCH_AND_THROW,left,?,False,549,582,33,0.5583732057416269,UNCERTAIN
23,41,chain23_ball0,False,CATCH_AND_THROW,right,?,False,591,608,14,0.5583732057416269,UNCERTAIN
23,43,chain23_ball0,False,BALLISTIC_CONTINUATION,unknown,?,False,621,622,2,0.5583732057416269,UNCERTAIN
23,45,chain23_ball0,False,CATCH_AND_THROW,right,?,False,631,670,40,0.5583732057416269,UNCERTAIN
23,46,chain23_ball0,False,CATCH_AND_THROW,left,?,False,679,716,30,0.5583732057416269,UNCERTAIN
24,38,chain24_ball0,False,CHAIN_START,,,False,533,534,2,0.6450643776824034,UNCERTAIN
24,39,chain24_ball0,False,CATCH_AND_THROW,right,?,False,545,676,127,0.6450643776824034,UNCERTAIN
24,47,chain24_ball0,False,BALLISTIC_CONTINUATION,unknown,?,False,685,766,72,0.6450643776824034,UNCERTAIN
25,42,chain25_ball0,False,CHAIN_START,,,False,593,598,4,0.8857142857142857,CONFIDENT
26,44,chain26_ball0,False,CHAIN_START,,,False,623,780,140,0.9381255686988171,CONFIDENT
27,48,chain27_ball0,False,CHAIN_START,,,False,691,700,10,1.0,CONFIDENT
28,49,chain28_ball0,False,CHAIN_START,,,False,697,697,1,1.0,CONFIDENT
29,50,chain29_ball0,False,CHAIN_START,,,False,733,805,61,0.6684981684981685,UNCERTAIN
29,55,chain29_ball0,False,BALLISTIC_CONTINUATION,unknown,?,False,811,811,1,0.6684981684981685,UNCERTAIN
30,51,chain30_ball0,False,CHAIN_START,,,False,765,766,2,0.42666666666666664,UNCERTAIN
30,52,chain30_ball0,False,BALLISTIC_CONTINUATION,unknown,?,False,775,780,6,0.42666666666666664,UNCERTAIN
30,54,chain30_ball0,False,CATCH_AND_THROW,right,17,False,797,830,31,0.42666666666666664,UNCERTAIN
30,59,chain30_ball0,True,CATCH_AND_THROW,right,26,True,856,872,11,0.42666666666666664,UNCERTAIN
30,63,chain30_ball0,True,CATCH_AND_THROW,right,18,True,890,945,52,0.42666666666666664,UNCERTAIN
31,53,chain31_ball0,False,CHAIN_START,,,False,791,839,47,0.40530035335689046,UNCERTAIN
31,60,chain31_ball0,False,CATCH_AND_THROW,right,21,True,860,936,71,0.40530035335689046,UNCERTAIN
31,64,chain31_ball0,False,BALLISTIC_CONTINUATION,unknown,?,False,944,964,18,0.40530035335689046,UNCERTAIN
31,68,chain31_ball0,False,CATCH_AND_THROW,right,?,False,970,1015,37,0.40530035335689046,UNCERTAIN
31,71,chain31_ball0,False,CATCH_AND_THROW,right,14,False,1029,1074,43,0.40530035335689046,UNCERTAIN
32,56,chain32_ball0,False,CHAIN_START,,,False,814,829,15,1.0,CONFIDENT
33,57,chain33_ball0,False,CHAIN_START,,,False,839,880,37,0.9442508710801394,CONFIDENT
34,58,chain34_ball0,False,CHAIN_START,,,False,855,856,2,1.0,CONFIDENT
