chain_id,tid,ball_id,identity_ambiguous,hand_event,hand,tok_age,h3_confirmed,v_reclassified,first_frame,last_frame,n_pts,chain_quality,chain_classification
0,1,chain0_ball0,False,CHAIN_START,,,False,False,2,102,96,0.6714763497372193,UNCERTAIN
0,9,chain0_ball0,False,CATCH_AND_THROW,left,?,False,False,114,256,132,0.6714763497372193,UNCERTAIN
0,13,chain0_ball0,False,CATCH_AND_THROW,left,?,False,False,267,327,56,0.6714763497372193,UNCERTAIN
0,16,chain0_ball0,False,CATCH_AND_THROW,right,?,False,False,339,468,126,0.6714763497372193,UNCERTAIN
0,21,chain0_ball0,False,CATCH_AND_THROW,right,?,False,False,482,693,191,0.6714763497372193,UNCERTAIN
0,29,chain0_ball0,False,CATCH_AND_THROW,left,?,False,False,701,761,48,0.6714763497372193,UNCERTAIN
0,34,chain0_ball0,False,CATCH_AND_THROW,right,?,False,False,769,899,120,0.6714763497372193,UNCERTAIN
1,2,chain1_ball0,False,CHAIN_START,,,False,False,2,72,62,0.5889150943396226,UNCERTAIN
1,8,chain1_ball0,False,CATCH_AND_THROW,right,?,False,False,83,426,311,0.5889150943396226,UNCERTAIN
2,3,chain2_ball0,False,CHAIN_START,,,False,False,2,22,21,0.5776315789473684,UNCERTAIN
2,6,chain2_ball0,False,CATCH_AND_THROW,left,?,False,False,34,97,59,0.5776315789473684,UNCERTAIN
3,4,chain3_ball0,False,CHAIN_START,,,False,False,2,411,358,0.6799540133779265,UNCERTAIN
3,18,chain3_ball0,False,CATCH_AND_THROW,right,?,False,False,420,709,260,0.6799540133779265,UNCERTAIN
3,30,chain3_ball0,False,CATCH_AND_THROW,right,?,False,False,715,845,119,0.6799540133779265,UNCERTAIN
3,37,chain3_ball0,False,CATCH_AND_THROW,right,?,False,False,854,899,44,0.6799540133779265,UNCERTAIN
4,5,chain4_ball0,False,CHAIN_START,,,False,False,2,228,205,0.7961651917404129,CONFIDENT
5,7,chain5_ball0,False,CHAIN_START,,,False,False,58,62,2,0.6333333333333333,UNCERTAIN
6,10,chain6_ball0,False,CHAIN_START,,,False,False,117,238,116,0.840625,CONFIDENT
6,12,chain6_ball0,False,CATCH_AND_THROW,right,17,True,False,255,309,54,0.840625,CONFIDENT
7,11,chain7_ball0,False,CHAIN_START,,,False,False,247,299,50,0.6156096059113301,UNCERTAIN
7,14,chain7_ball0,False,CATCH_AND_THROW,right,?,False,False,308,375,59,0.6156096059113301,UNCERTAIN
7,17,chain7_ball0,False,CATCH_AND_THROW,left,?,False,False,381,582,184,0.6156096059113301,UNCERTAIN
7,24,chain7_ball0,False,CATCH_AND_THROW,right,?,False,False,591,653,58,0.6156096059113301,UNCERTAIN
8,15,chain8_ball0,False,CHAIN_START,,,False,False,329,595,247,0.6755921052631579,UNCERTAIN
8,25,chain8_ball0,False,CATCH_AND_THROW,left,?,False,False,606,749,122,0.6755921052631579,UNCERTAIN
8,33,chain8_ball0,False,CATCH_AND_THROW,left,?,False,False,755,818,55,0.6755921052631579,UNCERTAIN
8,36,chain8_ball0,False,CATCH_AND_THROW,right,?,False,False,825,899,64,0.6755921052631579,UNCERTAIN
9,19,chain9_ball0,False,CHAIN_START,,,False,False,445,498,51,0.6144640234948605,UNCERTAIN
9,22,chain9_ball0,False,CATCH_AND_THROW,right,?,False,False,510,644,125,0.6144640234948605,UNCERTAIN
9,26,chain9_ball0,False,CATCH_AND_THROW,right,?,False,False,656,717,57,0.6144640234948605,UNCERTAIN
9,31,chain9_ball0,False,CATCH_AND_THROW,left,?,False,False,731,789,57,0.6144640234948605,UNCERTAIN
9,35,chain9_ball0,False,CATCH_AND_THROW,right,?,False,False,800,862,55,0.6144640234948605,UNCERTAIN
9,38,chain9_ball0,False,CATCH_AND_THROW,left,?,False,False,869,899,30,0.6144640234948605,UNCERTAIN
10,20,chain10_ball0,False,CHAIN_START,,,False,False,466,470,3,0.5666666666666667,UNCERTAIN
11,23,chain11_ball0,False,CHAIN_START,,,False,False,578,578,1,0.8333333333333333,CONFIDENT
12,27,chain12_ball0,False,CHAIN_START,,,False,False,670,670,1,0.6176282051282052,UNCERTAIN
12,28,chain12_ball0,False,CATCH_AND_THROW,left,?,False,True,678,738,53,0.6176282051282052,UNCERTAIN
12,32,chain12_ball0,False,CATCH_AND_THROW,right,?,False,False,743,878,120,0.6176282051282052,UNCERTAIN
13,39,chain13_ball0,False,CHAIN_START,,,False,False,878,882,3,0.7333333333333333,CONFIDENT
14,40,chain14_ball0,False,CHAIN_START,,,False,False,883,899,17,0.8333333333333333,CONFIDENT
