video,stem,src,cand,label,src_hand_slope,cand_hand_slope,src_end_hand_dist,cand_start_hand_dist,src_side,cand_side
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1,6,correct,3.350648916575475,21.404764695425246,77.85480625451754,96.14500071878224,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,2,6,wrong,1.3671618818219695,21.404764695425246,91.9291823449452,96.14500071878224,left,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,3,8,correct,-23.593084499602877,-7.108702713294431,106.16267437299469,71.46843176932155,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,3,7,wrong,-23.593084499602877,2.155229341640024,106.16267437299469,66.21693011732346,left,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,4,7,correct,-11.962699114786433,2.155229341640024,55.994556256669874,66.21693011732346,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,4,8,wrong,-11.962699114786433,-7.108702713294431,55.994556256669874,71.46843176932155,right,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,5,6,correct,,21.404764695425246,27.947923621600925,96.14500071878224,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,6,15,wrong,-4.299009253962404,3.786746360562954,47.25416439491697,15.213780809786154,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,7,10,correct,-15.98386600984477,3.3358475648927803,50.14067507494879,71.95192010571688,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,9,12,correct,-12.895020862045435,19.557322326666355,13.74505013260649,119.39875878898201,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,9,13,wrong,-12.895020862045435,-7.984397216740302,13.74505013260649,121.58527242486038,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,10,11,correct,16.02448037808045,9.281426896882849,87.39120285111744,29.530613856362837,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,11,13,correct,-4.970225087431267,-7.984397216740302,48.429531824509596,121.58527242486038,right,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,11,12,wrong,-4.970225087431267,19.557322326666355,48.429531824509596,119.39875878898201,right,left
