clip_index,video,clip_path,source_tracklet,candidate_tracklet,gap_frames,prediction_error,source_end_frame,candidate_start_frame,candidate_rank
0,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00000_source-1_candidate-6_gap-4_rank-1_error-320.57.mp4,1,6,4,320.572131,22,27,1
1,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00001_source-2_candidate-6_gap-4_rank-1_error-421.23.mp4,2,6,4,421.227317,22,27,1
2,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00002_source-3_candidate-8_gap-6_rank-1_error-49.81.mp4,3,8,6,49.811617,36,43,1
3,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00003_source-3_candidate-7_gap-2_rank-2_error-305.32.mp4,3,7,2,305.323052,36,39,2
4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00004_source-4_candidate-7_gap-0_rank-1_error-107.39.mp4,4,7,0,107.391069,38,39,1
5,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00005_source-4_candidate-8_gap-4_rank-2_error-578.07.mp4,4,8,4,578.074003,38,43,2
6,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00006_source-5_candidate-6_gap-0_rank-1_error-78.08.mp4,5,6,0,78.079109,26,27,1
7,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00007_source-6_candidate-15_gap-10_rank-1_error-149.40.mp4,6,15,10,149.402623,127,138,1
8,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00008_source-7_candidate-10_gap-2_rank-1_error-153.84.mp4,7,10,2,153.842117,61,64,1
9,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00009_source-9_candidate-12_gap-0_rank-1_error-47.56.mp4,9,12,0,47.558532,103,104,1
10,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00010_source-9_candidate-13_gap-0_rank-2_error-108.41.mp4,9,13,0,108.411606,103,104,2
11,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00011_source-10_candidate-11_gap-2_rank-1_error-108.37.mp4,10,11,2,108.371572,84,87,1
