clip_index,video,clip_path,source_tracklet,candidate_tracklet,gap_frames,prediction_error,source_end_frame,candidate_start_frame,candidate_rank
0,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00000_source-1_candidate-9_gap-6_rank-1_error-40.66.mp4,1,9,6,40.659569,107,114,1
1,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00001_source-1_candidate-10_gap-9_rank-2_error-238.42.mp4,1,10,9,238.416314,107,117,2
2,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00002_source-2_candidate-8_gap-5_rank-1_error-161.41.mp4,2,8,5,161.410456,77,83,1
3,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00003_source-3_candidate-6_gap-6_rank-1_error-104.98.mp4,3,6,6,104.975591,27,34,1
4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00004_source-4_candidate-18_gap-3_rank-1_error-82.63.mp4,4,18,3,82.626253,416,420,1
5,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00005_source-9_candidate-13_gap-5_rank-1_error-171.06.mp4,9,13,5,171.057223,261,267,1
6,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00006_source-10_candidate-11_gap-5_rank-1_error-271.21.mp4,10,11,5,271.209217,241,247,1
7,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00007_source-11_candidate-14_gap-3_rank-1_error-119.14.mp4,11,14,3,119.143935,304,308,1
8,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00008_source-13_candidate-16_gap-8_rank-1_error-164.54.mp4,13,16,8,164.53561,330,339,1
9,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00009_source-14_candidate-17_gap-1_rank-1_error-83.76.mp4,14,17,1,83.763378,379,381,1
