event_index,kind,primary_track_id,primary_first_frame,primary_last_frame,primary_end_frame,primary_end_x,primary_end_y,nearby_candidate_track_ids,nearby_starts_first_frames,review_clip_path,review_clip_first_frame,review_clip_last_frame
0,end,3,2,149,149,583.13,560.81,4,152,outputs/track_event_review/00000_end-id3-at-149.mp4,89,212
1,end,4,152,217,217,629.49,399.19,"5,6","223,224",outputs/track_event_review/00001_end-id4-at-217.mp4,157,284
2,existing_stitch,4,152,217,217,629.49,399.19,"6,5","224,223",outputs/track_event_review/00002_existing-id4.mp4,157,284
3,end,1,2,219,219,500.83,548.11,"5,6","223,224",outputs/track_event_review/00003_end-id1-at-219.mp4,159,284
4,orphan_start,7,465,498,465,57.86,679.95,"8,9","467,495",outputs/track_event_review/00004_orphan-start-id7-at-465.mp4,405,555
5,orphan_start,8,467,486,467,94.84,672.66,9,495,outputs/track_event_review/00005_orphan-start-id8-at-467.mp4,407,555
6,end,8,467,486,486,94.82,672.58,9,495,outputs/track_event_review/00006_end-id8-at-486.mp4,426,555
7,existing_stitch,8,467,486,486,94.82,672.58,9,495,outputs/track_event_review/00007_existing-id8.mp4,426,555
8,end,9,495,495,495,94.79,672.62,,,outputs/track_event_review/00008_end-id9-at-495.mp4,435,555
9,end,7,465,498,498,57.58,680.05,,,outputs/track_event_review/00009_end-id7-at-498.mp4,438,558
10,end,5,223,841,841,518.69,521.02,"10,11","845,885",outputs/track_event_review/00010_end-id5-at-841.mp4,781,945
11,end,2,2,882,882,678.25,615.12,"11,12","885,936",outputs/track_event_review/00011_end-id2-at-882.mp4,822,996
12,end,12,936,936,936,57.81,678.96,13,953,outputs/track_event_review/00012_end-id12-at-936.mp4,876,1013
13,end,6,224,950,950,730.38,632.21,13,953,outputs/track_event_review/00013_end-id6-at-950.mp4,890,1013
14,orphan_start,1,2,219,2,553.16,346.50,,,outputs/track_event_review/00014_orphan-start-id1-at-2.mp4,0,62
15,orphan_start,2,2,882,2,714.14,392.10,,,outputs/track_event_review/00015_orphan-start-id2-at-2.mp4,0,62
16,orphan_start,3,2,149,2,612.07,441.11,,,outputs/track_event_review/00016_orphan-start-id3-at-2.mp4,0,62
17,end,10,845,1074,1074,535.04,639.96,14,1077,outputs/track_event_review/00017_end-id10-at-1074.mp4,1014,1078
18,end,11,885,1078,1078,745.67,446.87,,,outputs/track_event_review/00018_end-id11-at-1078.mp4,1018,1078
19,end,13,953,1078,1078,709.62,318.84,,,outputs/track_event_review/00019_end-id13-at-1078.mp4,1018,1078
20,end,14,1077,1078,1078,535.38,530.98,,,outputs/track_event_review/00020_end-id14-at-1078.mp4,1018,1078
